"hour","n_obs","wind_speed_mean","wind_speed_sd","wave_height_mean","wave_height_sd","pct_ctv","pct_calm","pct_rough","pct_extreme"
0,1096,6.87,3.01,1.26,0.73,67.2,67.2,24,8.8
1,1096,6.82,3.02,1.26,0.74,68.1,68.1,23.3,8.7
2,1096,6.83,3.02,1.27,0.74,68.2,68.2,22.9,8.9
3,1096,6.75,3.07,1.27,0.75,69,69,21.5,9.5
4,1096,6.79,3.02,1.27,0.75,68.4,68.4,21.4,10.1
5,1096,6.85,3.07,1.27,0.74,68.3,68.3,21.6,10
6,1096,6.84,3.08,1.27,0.74,68,68,22.9,9.1
7,1096,6.86,3.09,1.27,0.74,68.3,68.3,22.2,9.5
8,1096,6.83,3.05,1.26,0.74,69.1,69.1,21.2,9.8
9,1096,6.8,3.06,1.26,0.75,68.4,68.4,22.9,8.7
10,1096,6.73,3.09,1.25,0.75,69.3,69.3,22.2,8.5
11,1096,6.69,3.06,1.25,0.75,69.3,69.3,22.2,8.6
12,1096,6.68,3.07,1.25,0.75,69.4,69.4,21.9,8.7
13,1096,6.63,3.07,1.25,0.75,69.2,69.2,22.7,8.1
14,1096,6.67,3.12,1.26,0.74,68.2,68.2,22.4,9.3
15,1096,6.7,3.11,1.27,0.73,68.3,68.3,22.8,8.9
16,1096,6.79,3.2,1.28,0.74,67.8,67.8,21.9,10.3
17,1096,6.86,3.22,1.29,0.74,67.3,67.3,22.6,10
18,1096,6.86,3.15,1.28,0.73,67.3,67.3,23.3,9.4
19,1096,6.89,3.14,1.29,0.73,67.2,67.2,23.9,8.9
20,1096,6.91,3.09,1.28,0.72,67.8,67.8,23,9.2
21,1096,6.89,3.06,1.27,0.72,68.2,68.2,22.8,8.9
22,1096,6.83,2.97,1.27,0.73,68.2,68.2,23.3,8.5
23,1096,6.86,2.98,1.26,0.73,67.8,67.8,23.9,8.3
