year,week,year_week,week_start,week_end,n_hours,month_mode,wind_speed_mean,wind_speed_median,wind_speed_max,wind_speed_min,wind_speed_sd,wind_speed_p95,wind_speed_p05,wind_dir_mean,wave_height_mean,wave_height_median,wave_height_max,wave_height_min,wave_height_sd,wave_height_p95,wave_height_p05,max_wave_mean,max_wave_max,ctv_accessible_hours,sov_accessible_hours,ctv_accessible_days,sov_accessible_days,hours_calm,hours_rough,hours_extreme,sea_temp_mean,air_temp_mean,gust_speed_max,pressure_mean,humidity_mean,season,weather_scenario,access_category,wind_dir_cardinal
2023,1,2023-W01,2023-01-01,2023-01-08,168,1,7.164880952,7.35,13.3,0.7,2.751442515,11.43,2.44,304.9755751,1.250595238,1.2,2.2,0.6,0.372722148,1.965,0.7,2.026785714,3.4,123,168,5.125,7,123,40,5,16.37261905,8.79047619,17.2,1024.783929,47.61904762,Winter,Calm,Good (4-6 days),NW
2023,2,2023-W02,2023-01-08,2023-01-15,168,1,7.493452381,7.6,17.1,1.2,2.81005764,11.565,3.2,268.9921475,1.591071429,1.4,4.8,0.3,0.916438718,3.23,0.5,2.591666667,7,87,135,3.625,5.625,87,46,35,16.00297619,13.57083333,22.1,1019.761607,70.98214286,Winter,Moderate,Fair (2-4 days),W
2023,3,2023-W03,2023-01-15,2023-01-22,168,1,5.870833333,5.5,11.9,1.2,2.815660954,10.365,2.035,333.8405759,1.560714286,1.4,3.1,0.8,0.50042326,2.6,0.9,2.526190476,5.4,97,158,4.041666667,6.583333333,97,61,10,16.09583333,7.370833333,15.5,1023.916071,54.43452381,Winter,Moderate,Good (4-6 days),NW
2023,4,2023-W04,2023-01-22,2023-01-29,168,1,7.830952381,7.5,17.7,0.6,3.789853336,13.23,2.07,311.2305803,1.84047619,1.7,4.5,0.6,0.817491277,3.665,0.8,2.966071429,6.8,60,140,2.5,5.833333333,60,68,40,13.79702381,3.320238095,24,1021.241667,54.01785714,Winter,Moderate,Fair (2-4 days),NW
2023,5,2023-W05,2023-01-29,2023-02-05,168,2,6.55297619,6.5,12.6,0.9,3.130474617,11.3,1.905,318.3465366,1.289880952,1.2,2.7,0.5,0.417956231,2,0.7,2.080357143,5,111,166,4.625,6.916666667,111,52,5,14.72738095,8.845238095,16,1021.090774,49.53571429,Winter,Calm,Good (4-6 days),NW
2023,6,2023-W06,2023-02-05,2023-02-12,168,2,5.211904762,5.15,12.3,0.3,2.619910167,9.8,1.27,28.00788479,0.928571429,0.9,2,0.3,0.462114751,1.7,0.4,1.49702381,3.4,143,168,5.958333333,7,143,24,1,14.27261905,11.27619048,17.3,1022.130952,62.04166667,Winter,Calm,Good (4-6 days),NE
2023,7,2023-W07,2023-02-12,2023-02-19,168,2,7.045238095,7.1,14.1,0.9,3.241327619,12.5,2.235,28.91414257,1.573809524,1.4,3.1,0.5,0.706872855,2.8,0.6,2.555357143,5.2,90,147,3.75,6.125,90,49,29,14.69821429,10.23630952,18.4,1022.703571,70.41666667,Winter,Moderate,Fair (2-4 days),NE
2023,8,2023-W08,2023-02-19,2023-02-26,168,2,6.19702381,6.25,12.6,0.4,3.178622938,11.265,1.4,358.9422323,1.344047619,1.3,2.4,0.4,0.509984429,2.165,0.5,2.176488095,4.5,104,168,4.333333333,7,104,62,2,14.53184524,8.61577381,16.6,1027.280655,59.47321429,Winter,Calm,Good (4-6 days),N
2023,9,2023-W09,2023-02-26,2023-03-05,168,3,7.082738095,6.65,15.3,0.5,3.16721599,12.765,2.27,265.2410154,1.166071429,1,2.4,0.6,0.446386739,2,0.6,1.885119048,4.8,121,168,5.041666667,7,121,31,16,14.38809524,11.38630952,18.8,1026.653274,54.36904762,Spring,Calm,Good (4-6 days),W
2023,10,2023-W10,2023-03-05,2023-03-12,168,3,9.387123341,9.819016393,10.5,2.4,1.629563315,10.26252459,4.44,232.8599636,1.257648322,1.308770492,1.6,0.5,0.206231142,1.395008197,0.7,2.343489461,2.7,113,168,4.708333333,7,113,55,0,15.54936768,14.62110461,12.9,1021.571286,66.1239071,Spring,Rough Sea,Good (4-6 days),SW
