지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22189,2023-01-01 0:00,7,306,10.3,1028,51,7.8,16.9,1.6,1.1,0.8,8,71
22189,2023-01-01 1:00,7.3,306,10.7,1028.5,54,7.1,16.9,1.7,1.1,0.8,6.4,54
22189,2023-01-01 2:00,10.9,298,13.7,1027.8,56,7.5,16.9,1.8,1.2,0.9,3.4,309
22189,2023-01-01 3:00,9.6,295,11.9,1028.1,51,7.1,16.9,1.7,1.2,0.8,3.8,313
22189,2023-01-01 4:00,9.1,300,11.8,1028.2,55,7.6,16.8,1.8,1,0.7,8,52
22189,2023-01-01 5:00,8.1,307,11,1028.1,49,7.7,16.8,1.5,1,0.7,3.2,307
22189,2023-01-01 6:00,7.7,322,10.5,1027.8,51,8.1,16.8,1.7,1,0.7,3.4,319
22189,2023-01-01 7:00,6.3,316,9.3,1028,49,7.6,16.8,1.8,1.1,0.7,8,118
22189,2023-01-01 8:00,9.3,312,11.8,1028.5,49,7.9,16.8,1.7,1.2,0.8,4.9,18
22189,2023-01-01 9:00,7.2,322,10.1,1029.1,52,7.5,16.8,1.8,1.2,0.8,5.3,41
22189,2023-01-01 10:00,7,298,9.7,1029.4,47,7.3,16.8,1.8,1.1,0.8,4.9,42
22189,2023-01-01 11:00,7.2,308,10.2,1029.7,52,7.6,16.8,1.5,1,0.7,3.6,283
22189,2023-01-01 12:00,8.9,295,12.2,1029.3,52,7.7,16.8,1.6,1.1,0.8,4.6,36
22189,2023-01-01 13:00,6.4,301,9,1028.4,55,8.1,16.8,1.7,1,0.7,4.9,14
22189,2023-01-01 14:00,2.7,289,5.3,1027.6,49,8.2,16.8,1.7,1,0.7,4.6,27
22189,2023-01-01 15:00,5.1,304,8.3,1026.7,50,9.2,16.8,2,1.1,0.8,4.9,359
22189,2023-01-01 16:00,4.4,262,7.2,1026.8,54,9.4,16.8,1.5,1,0.7,6.4,51
22189,2023-01-01 17:00,3.4,246,5.8,1026.6,50,9.4,16.9,1.6,1,0.7,8,35
22189,2023-01-01 18:00,3,273,5.4,1027,49,10,17,1.6,1,0.7,7.1,39
22189,2023-01-01 19:00,2.1,292,4.5,1027.3,46,10.4,17,1.5,1.1,0.8,8,27
22189,2023-01-01 20:00,6.4,307,8.4,1027.5,41,10.6,16.9,1.5,1,0.7,7.1,43
22189,2023-01-01 21:00,8.9,294,11.8,1027,48,10.7,16.8,1.8,1.1,0.8,7.1,41
22189,2023-01-01 22:00,7.5,296,10.4,1027.2,45,10.6,16.9,2.2,1.3,1,7.1,34
22189,2023-01-01 23:00,9.7,309,12.7,1027.1,43,10.8,17,2.1,1.4,1,8,33
22189,2023-01-02 0:00,10.7,305,13.6,1027.5,46,9.6,17,2,1.5,1.1,4.3,318
22189,2023-01-02 1:00,10,307,12.5,1027.9,45,9.1,16.9,2.7,1.7,1.2,4.3,321
22189,2023-01-02 2:00,10.2,318,13.1,1027.9,46,8.6,16.9,2.8,1.6,1.1,4.6,317
22189,2023-01-02 3:00,11,312,13.9,1027.4,48,8.9,16.9,2.9,1.8,1.2,5.3,324
22189,2023-01-02 4:00,11,322,14.2,1027.2,46,8.5,16.9,2.7,1.7,1.2,5.3,341
22189,2023-01-02 5:00,9.4,324,13.3,1027.6,44,8.1,16.9,2.9,1.7,1.2,5.3,333
22189,2023-01-02 6:00,11.5,326,14.8,1027.2,43,8.3,16.9,3.1,1.9,1.3,4.6,331
22189,2023-01-02 7:00,10.6,327,14.2,1027.2,47,8.6,17,3.3,2.2,1.5,5.3,344
22189,2023-01-02 8:00,9.5,333,12.4,1027.6,40,8.1,17,3,2,1.4,5.8,45
22189,2023-01-02 9:00,10.5,335,14.3,1027.6,44,8,17,3.4,2,1.4,6.4,50
22189,2023-01-02 10:00,10.1,320,14.2,1028.4,44,7.8,17,2.8,1.8,1.3,8,47
22189,2023-01-02 11:00,11.3,313,14.6,1028,47,6.4,17,3.1,2,1.4,6.4,44
22189,2023-01-02 12:00,10.5,315,14.3,1028.1,41,6.6,17,3.3,1.9,1.4,8,47
