week_num,week_label,ShipCost,PortCost,LaborCost,DowntimeCost,PartsCost,TotalCost
1,2025-01-01025-01-07,"24,058,729","3,333,801","7,404,842",0,"7,000,000","41,797,372"
2,2025-01-08025-01-14,"57,572,201","8,436,668","31,955,148","10,670,664","44,000,000","152,634,681"
3,2025-01-15025-01-21,"50,263,913","7,655,301","21,780,829","8,513,350","19,000,000","107,213,392"
4,2025-01-22025-01-28,"24,822,415","3,250,457","7,659,502",0,"9,000,000","44,732,374"
5,2025-01-29025-02-04,"61,227,867","9,096,713","35,515,335","13,782,449","48,000,000","167,622,364"
6,2025-02-05025-02-11,"41,440,890","6,174,335","19,453,779","5,070,138","17,000,000","89,139,142"
7,2025-02-12025-02-18,"32,458,454","4,329,177","11,427,813",0,"13,000,000","61,215,444"
8,2025-02-19025-02-25,"33,590,465","4,741,469","10,329,533",0,"13,000,000","61,661,467"
9,2025-02-26025-03-04,"47,071,313","7,022,429","32,457,749","4,813,708","44,000,000","135,365,199"
10,2025-03-05025-03-11,"52,220,691","7,893,056","38,192,592","14,479,392","66,000,000","178,785,731"
11,2025-03-12025-03-18,"7,842,357","1,009,077","2,421,784",0,"4,000,000","15,273,218"
12,2025-03-19025-03-25,"39,296,459","6,014,871","27,431,395","2,247,474","37,000,000","111,990,199"
13,2025-03-26025-04-01,"33,542,765","4,531,527","10,335,932",0,"10,000,000","58,410,224"
14,2025-04-02025-04-08,"43,614,641","6,570,492","20,812,225","3,131,319","22,000,000","96,128,676"
15,2025-04-09025-04-15,"7,812,718","1,005,263","2,412,632",0,"4,000,000","15,230,613"
16,2025-04-16025-04-22,"7,391,637","951,083","2,282,598",0,"3,000,000","13,625,318"
17,2025-04-23025-04-29,"1,978,248","254,541","610,899",0,"1,000,000","3,843,688"
18,2025-04-30025-05-06,"15,265,696","2,160,177","4,693,859",0,"5,000,000","27,119,732"
19,2025-05-07025-05-13,"50,207,119","7,730,667","37,362,094","16,133,314","35,000,000","146,433,194"
20,2025-05-14025-05-20,"14,573,363","1,875,156","4,500,374",0,"5,000,000","25,948,892"
21,2025-05-21025-05-27,"18,096,665","2,328,499","5,588,399",0,"6,000,000","32,013,563"
22,2025-05-28025-06-03,"109,931,749","17,500,000","33,600,000","152,301,825","52,000,000","365,333,575"
23,2025-06-04025-06-10,"25,814,949","3,827,999","11,980,990","875,572","9,000,000","51,499,511"
24,2025-06-11025-06-17,"11,056,220","1,422,605","3,414,251",0,"4,000,000","19,893,076"
25,2025-06-18025-06-24,"52,602,985","8,059,378","33,378,633","6,172,536","42,000,000","142,213,533"
26,2025-06-25025-07-01,"40,122,188","6,078,445","18,877,908",0,"15,000,000","80,078,541"
27,2025-07-02025-07-08,"12,020,044","1,718,716","5,849,731",0,"7,000,000","26,588,491"
28,2025-07-09025-07-15,"64,334,449","9,734,088","39,206,531","21,900,266","48,000,000","183,175,333"
29,2025-07-16025-07-22,"42,089,845","6,165,317","29,616,578","3,775,253","39,000,000","120,646,993"
30,2025-07-23025-07-29,"34,741,782","5,070,719","16,710,670","1,866,565","15,000,000","73,389,736"
31,2025-07-30025-08-05,"53,592,445","7,949,668","34,881,201","4,493,748","47,000,000","147,917,064"
32,2025-08-06025-08-12,"12,707,205","1,635,037","5,069,886",0,"11,000,000","30,412,128"
33,2025-08-13025-08-19,"21,661,533","3,266,487","18,428,438","1,641,651","31,000,000","75,998,110"
34,2025-08-20025-08-26,"64,692,747","10,073,603","43,206,542","9,264,262","51,000,000","178,237,153"
35,2025-08-27025-09-02,"34,762,802","5,131,020","12,739,331","43,645,578","60,000,000","156,278,731"
36,2025-09-03025-09-09,"108,961,372","17,316,511","36,443,763","120,321,655","6,000,000","289,043,301"
37,2025-09-10025-09-16,"32,746,789","4,682,202","17,823,574",0,"36,000,000","91,252,565"
38,2025-09-17025-09-23,"19,678,544","2,745,024","9,113,529",0,"9,000,000","40,537,098"
39,2025-09-24025-09-30,"10,848,836","1,395,921","3,350,210",0,"3,000,000","18,594,966"
40,2025-10-01025-10-07,"13,777,553","1,772,759","4,254,621",0,"5,000,000","24,804,933"
41,2025-10-08025-10-14,"29,482,830","4,272,854","12,876,618","873,768","11,000,000","58,506,069"
42,2025-10-15025-10-21,"52,767,258","7,863,405","34,494,167","2,431,704","49,000,000","146,556,535"
43,2025-10-22025-10-28,"28,025,176","4,021,443","10,023,821",0,"11,000,000","53,070,439"
44,2025-10-29025-11-04,"11,763,050","1,526,631","3,631,170",0,"3,000,000","19,920,851"
45,2025-11-05025-11-11,-,-,-,0,-,0
46,2025-11-12025-11-18,-,-,-,0,-,0
47,2025-11-19025-11-25,"12,997,195","1,672,350","5,997,532",0,"7,000,000","27,667,077"
48,2025-11-26025-12-02,"8,528,359","1,097,345","2,633,627",0,"4,000,000","16,259,331"
49,2025-12-03025-12-09,-,-,-,0,-,0
50,2025-12-10025-12-16,-,-,-,0,-,0
51,2025-12-17025-12-23,-,-,-,0,-,0
52,2025-12-24025-12-30,"20,719,710","2,773,646","7,685,520",0,"10,000,000","41,178,876"
