Season,From,To,Prob,Source
Winter,Calm,Calm,0.5488,KMA empirical
Winter,Calm,Moderate,0.2683,KMA empirical
Winter,Calm,Rough,0.1341,KMA empirical
Winter,Calm,Extreme,0.0488,KMA empirical
Winter,Moderate,Calm,0.3582,KMA empirical
Winter,Moderate,Moderate,0.3134,KMA empirical
Winter,Moderate,Rough,0.2537,KMA empirical
Winter,Moderate,Extreme,0.0746,KMA empirical
Winter,Rough,Calm,0.0843,KMA empirical
Winter,Rough,Moderate,0.253,KMA empirical
Winter,Rough,Rough,0.5181,KMA empirical
Winter,Rough,Extreme,0.1446,KMA empirical
Winter,Extreme,Calm,0.1579,KMA empirical
Winter,Extreme,Moderate,0.0789,KMA empirical
Winter,Extreme,Rough,0.3158,KMA empirical
Winter,Extreme,Extreme,0.4474,KMA empirical
Spring,Calm,Calm,0.5698,KMA empirical
Spring,Calm,Moderate,0.2442,KMA empirical
Spring,Calm,Rough,0.1163,KMA empirical
Spring,Calm,Extreme,0.0698,KMA empirical
Spring,Moderate,Calm,0.2619,KMA empirical
Spring,Moderate,Moderate,0.3929,KMA empirical
Spring,Moderate,Rough,0.2857,KMA empirical
Spring,Moderate,Extreme,0.0595,KMA empirical
Spring,Rough,Calm,0.1481,KMA empirical
Spring,Rough,Moderate,0.2963,KMA empirical
Spring,Rough,Rough,0.4444,KMA empirical
Spring,Rough,Extreme,0.1111,KMA empirical
Spring,Extreme,Calm,0.1667,KMA empirical
Spring,Extreme,Moderate,0.25,KMA empirical
Spring,Extreme,Rough,0.4583,KMA empirical
Spring,Extreme,Extreme,0.125,KMA empirical
Summer,Calm,Calm,0.6098,KMA empirical
Summer,Calm,Moderate,0.2764,KMA empirical
Summer,Calm,Rough,0.065,KMA empirical
Summer,Calm,Extreme,0.0488,KMA empirical
Summer,Moderate,Calm,0.481,KMA empirical
Summer,Moderate,Moderate,0.2532,KMA empirical
Summer,Moderate,Rough,0.1646,KMA empirical
Summer,Moderate,Extreme,0.1013,KMA empirical
Summer,Rough,Calm,0.1569,KMA empirical
Summer,Rough,Moderate,0.3529,KMA empirical
Summer,Rough,Rough,0.451,KMA empirical
Summer,Rough,Extreme,0.0392,KMA empirical
Summer,Extreme,Calm,0.1364,KMA empirical
Summer,Extreme,Moderate,0.2727,KMA empirical
Summer,Extreme,Rough,0.3182,KMA empirical
Summer,Extreme,Extreme,0.2727,KMA empirical
Autumn,Calm,Calm,0.3425,KMA empirical
Autumn,Calm,Moderate,0.3699,KMA empirical
Autumn,Calm,Rough,0.1781,KMA empirical
Autumn,Calm,Extreme,0.1096,KMA empirical
Autumn,Moderate,Calm,0.3263,KMA empirical
Autumn,Moderate,Moderate,0.3263,KMA empirical
Autumn,Moderate,Rough,0.2526,KMA empirical
Autumn,Moderate,Extreme,0.0947,KMA empirical
Autumn,Rough,Calm,0.2131,KMA empirical
Autumn,Rough,Moderate,0.3443,KMA empirical
Autumn,Rough,Rough,0.2131,KMA empirical
Autumn,Rough,Extreme,0.2295,KMA empirical
Autumn,Extreme,Calm,0.0698,KMA empirical
Autumn,Extreme,Moderate,0.3721,KMA empirical
Autumn,Extreme,Rough,0.2791,KMA empirical
Autumn,Extreme,Extreme,0.2791,KMA empirical
