mean,std,ci_95_lo,ci_95_hi,n_weeks,strategy,year
52823048.43787225,31968921.21353489,45065116.202749915,60470538.02815817,52,S1_NoWeather,2023
238637496.41264045,220598655.74144673,182580243.12368408,302223227.7915407,52,S1_NoWeather,2024
464059091.96441144,282086535.02287054,401658047.33122164,545688228.5032637,52,S1_NoWeather,2025
86659524.56692211,85093323.16021359,63584794.51033753,112572197.08881278,52,S2_WeatherCTV,2023
238431718.87881073,112832897.39045468,211410077.96305636,264759809.79433948,52,S2_WeatherCTV,2024
279945690.7582577,150904349.25452557,240405678.87023687,324266401.61845064,52,S2_WeatherCTV,2025
114041129.39217542,121737017.561772,85477344.11032924,148821414.67284662,52,S3_MultiPort,2023
226594214.02103418,115358703.95462528,197788385.99864095,256743576.84230688,52,S3_MultiPort,2024
272799867.1775686,143889720.22199824,232448940.04920304,313276972.4304051,52,S3_MultiPort,2025
165793481.2780197,89500594.65310185,140915395.95593828,188551711.89862818,52,HMDP_CBM,2023
320333447.66928506,138657832.4344542,285503748.5443896,359896525.2936076,52,HMDP_CBM,2024
349000948.2555733,172126268.10978827,309823922.096857,394863069.4953957,52,HMDP_CBM,2025
