date,turbine_id,component,severity,event_type,criticality,eta_derating,duration_hr,hours_remaining,arrival_day_idx,crew_teams,parts_cost,age_weeks,wb_hazard,reliability,completion_day_idx,delay_days,strategy,component_list,reliability_trigger,n_comps_serviced
2023-01-04,41,Heaters/Coolers,Minor Repair,FAIL,Non-Critical,0.02,1.912243183575703,1.912243183575703,3,1,500000,11.6,0.0017,0.9921,3,0,S1_NoWeather,,,
2023-01-05,39,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,2.6088442864732198,2.6088442864732198,4,1,500000,43.6,0.0126,0.8031,4,0,S1_NoWeather,,,
2023-01-08,25,Power Supply/Converter,Minor Repair,FAIL,Semi-Critical,0.15,6.565090877563842,6.565090877563842,7,1,500000,36.6,0.0097,0.8682,7,0,S1_NoWeather,,,
2023-01-10,21,Pumps/Motors,Minor Repair,FAIL,Non-Critical,0.04,5.9760406828911865,5.9760406828911865,9,1,500000,45.1,0.0132,0.7874,9,0,S1_NoWeather,,,
2023-01-15,21,Transformer,Minor Repair,FAIL,Semi-Critical,0.2,4.488304561618777,4.488304561618777,14,1,500000,28.9,0.0068,0.9246,14,0,S1_NoWeather,,,
2023-01-23,38,Gearbox,Minor Repair,FAIL,Critical,0.4,9.457167845719981,9.457167845719981,22,1,500000,23.8,0.0051,0.9528,22,0,S1_NoWeather,,,
2023-01-23,9,Safety,Minor Repair,FAIL,Non-Critical,0.0,5.379662500320309,2.8368303460402906,22,1,500000,16.0,0.0028,0.9822,23,1,S1_NoWeather,,,
2023-01-25,33,Electrical Components,Minor Repair,FAIL,Non-Critical,0.05,5.3777230348652445,5.3777230348652445,24,1,500000,35.6,0.0093,0.8765,24,0,S1_NoWeather,,,
2023-01-26,2,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,3.9953771364699584,3.9953771364699584,25,1,500000,50.4,0.0156,0.73,25,0,S1_NoWeather,,,
2023-02-05,14,Gearbox,Minor Repair,FAIL,Critical,0.4,4.112266679031997,4.112266679031997,35,1,500000,33.4,0.0084,0.8937,35,0,S1_NoWeather,,,
2023-02-09,47,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,8.594402785824519,8.594402785824519,39,1,500000,54.7,0.0177,0.6794,39,0,S1_NoWeather,,,
2023-02-11,14,Power Supply/Converter,Minor Repair,FAIL,Semi-Critical,0.15,3.715833373126123,3.715833373126123,41,1,500000,32.3,0.008,0.9016,41,0,S1_NoWeather,,,
2023-02-12,48,Tower/Foundation,Major Repair,FAIL,Critical,0.5,16.72846678028197,4.72846678028197,42,2,10000000,48.1,0.0146,0.7557,43,1,S1_NoWeather,,,
2023-02-13,45,Controls,Major Repair,FAIL,Semi-Critical,0.35,8.014810129364944,0.7432769096469141,43,2,10000000,47.4,0.0143,0.7632,44,1,S1_NoWeather,,,
2023-02-15,41,Blades,Minor Repair,FAIL,Critical,0.2,6.007122979282669,6.007122979282669,45,1,500000,60.0,0.0203,0.6145,45,0,S1_NoWeather,,,
2023-02-20,37,Blades,Minor Repair,FAIL,Critical,0.2,9.330270261093096,9.330270261093096,50,1,500000,57.8,0.0192,0.6419,50,0,S1_NoWeather,,,
2023-02-24,28,Power Supply/Converter,Minor Repair,FAIL,Semi-Critical,0.15,4.179887891704973,4.179887891704973,54,1,500000,57.3,0.019,0.6476,54,0,S1_NoWeather,,,
2023-02-26,10,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,3.9948571885369715,3.9948571885369715,56,1,500000,24.5,0.0053,0.9494,56,0,S1_NoWeather,,,
2023-02-28,8,Tower/Foundation,Major Repair,FAIL,Critical,0.5,21.406034913785376,9.406034913785376,58,2,10000000,38.3,0.0104,0.8531,59,1,S1_NoWeather,,,
2023-03-03,1,Generator,Major Replacement,FAIL,Critical,1.0,29.15202914335126,5.15202914335126,61,3,30000000,35.9,0.0094,0.8734,63,2,S1_NoWeather,,,
2023-03-05,33,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,6.064158641538802,6.064158641538802,63,1,500000,59.5,0.02,0.6209,63,0,S1_NoWeather,,,
2023-03-05,43,Safety,Minor Repair,FAIL,Non-Critical,0.0,2.7581504834590174,1.9743382683490793,63,1,500000,59.9,0.0203,0.6151,64,1,S1_NoWeather,,,
2023-03-09,46,Gearbox,Major Replacement,FAIL,Critical,1.0,17.312836853599585,5.312836853599585,67,3,30000000,64.7,0.0227,0.5559,68,1,S1_NoWeather,,,
2023-03-09,11,Generator,Minor Repair,FAIL,Critical,0.35,4.879289836324755,4.879289836324755,67,1,500000,59.7,0.0201,0.6185,68,1,S1_NoWeather,,,
2023-03-12,3,Blades,Minor Repair,FAIL,Critical,0.2,7.068634727468579,7.068634727468579,70,1,500000,48.5,0.0147,0.7512,70,0,S1_NoWeather,,,
2023-03-14,18,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,4.538661306029098,4.538661306029098,72,1,500000,35.3,0.0091,0.879,72,0,S1_NoWeather,,,
2023-03-18,34,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,3.9195821075120723,3.9195821075120723,76,1,500000,65.1,0.0229,0.5504,76,0,S1_NoWeather,,,
2023-03-19,31,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,3.8150232797692505,3.8150232797692505,77,1,500000,65.5,0.0231,0.5458,77,0,S1_NoWeather,,,
2023-03-23,26,Sensors,Major Repair,FAIL,Non-Critical,0.08,6.405707730966465,6.405707730966465,81,2,10000000,48.8,0.0149,0.7476,81,0,S1_NoWeather,,,
2023-03-25,17,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,4.598914895899004,4.598914895899004,83,1,500000,63.2,0.022,0.5737,83,0,S1_NoWeather,,,
2023-03-25,48,Sensors,Minor Repair,FAIL,Non-Critical,0.02,2.6749370437984483,2.6749370437984483,83,1,500000,40.5,0.0113,0.8334,83,0,S1_NoWeather,,,
2023-03-28,34,Contactor/Circuit/Relay,Minor Repair,FAIL,Non-Critical,0.03,4.819001021795558,4.819001021795558,86,1,500000,41.9,0.0118,0.8202,86,0,S1_NoWeather,,,
2023-03-30,23,Controls,Minor Repair,FAIL,Semi-Critical,0.1,5.290120968590571,5.290120968590571,88,1,500000,23.5,0.005,0.9542,88,0,S1_NoWeather,,,
2023-04-05,39,Heaters/Coolers,Minor Repair,FAIL,Non-Critical,0.02,4.913013297211473,4.913013297211473,94,1,500000,56.1,0.0192,0.6623,94,0,S1_NoWeather,,,
2023-04-09,39,Service Items,Minor Repair,FAIL,Non-Critical,0.0,4.741229049034713,4.741229049034713,98,1,500000,31.1,0.0076,0.9103,98,0,S1_NoWeather,,,
2023-04-11,49,Blades,Minor Repair,FAIL,Critical,0.2,6.565256730729761,6.565256730729761,100,1,500000,59.9,0.0202,0.6156,100,0,S1_NoWeather,,,
2023-04-22,3,Electrical Components,Minor Repair,FAIL,Non-Critical,0.05,2.621104397617626,2.621104397617626,111,1,500000,62.6,0.0216,0.5814,111,0,S1_NoWeather,,,
