strategy,year,ship_cost_B,port_cost_B,labor_cost_B,pending_downtime_cost_B,parts_cost_B,downtime_cost_B,wasted_charter_cost_B,total_B
S1_NoWeather,2023,1.3203,0.346,0.12,0.1058,0.491,0.3637,0.488,3.2348
S1_NoWeather,2024,2.1207,0.586,0.2431,1.9253,1.1705,6.3635,0.7132,13.1223
S1_NoWeather,2025,2.1703,0.669,0.2796,2.8534,1.17,16.9887,0.563,24.6941
S2_WeatherCTV,2023,3.0398,0.3569,0.1367,0.1109,0.573,0.289,0.0,4.5063
S2_WeatherCTV,2024,8.4912,0.8059,0.3134,0.3088,1.276,1.2031,0.0,12.3984
S2_WeatherCTV,2025,7.9892,0.8926,0.3732,0.7883,1.625,2.8889,0.0,14.5572
S3_MultiPort,2023,3.5013,0.4224,0.1895,0.3474,0.8355,0.634,0.0,5.9301
S3_MultiPort,2024,8.3534,0.7441,0.277,0.3772,1.0565,0.9747,0.0,11.7829
S3_MultiPort,2025,7.9892,0.8926,0.3801,0.7556,1.6105,2.5576,0.0,14.1856
HMDP_CBM,2023,6.3642,0.7829,0.2137,0.1216,0.6815,0.4573,0.0,8.6213
HMDP_CBM,2024,8.7905,0.8447,0.2506,0.5392,1.0815,5.1509,0.0,16.6573
HMDP_CBM,2025,7.9892,0.8926,0.2601,0.4045,0.8755,7.7261,0.0,18.148
