date,strategy,day_index,year,month,weather_state,ctv_accessible,rt_triggers_today,critical_failures,ao_binary,production_fraction,aep_pct,vessel_cost_MKRW,pdc_MKRW,downtime_cost_MKRW,charter_waste_MKRW,total_cost_MKRW,config_trigger,config_vessel,config_port,config_feedback,config_charter
2023-01-01,S1+RT,0,2023,1,Calm,1,3,0,1.0,0.998,99.799,8.927,0.776,0.0,0.0,9.704,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-02,S1+RT,1,2023,1,Moderate,1,4,0,1.0,0.9478,94.775,8.622,0.59,0.0,0.0,9.212,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-03,S1+RT,2,2023,1,Moderate,0,4,0,1.0,0.955,95.499,5.9,0.358,0.0,4.531,6.258,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-04,S1+RT,3,2023,1,Rough,0,0,0,1.0,0.8983,89.827,5.9,0.11,0.0,4.55,6.01,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-05,S1+RT,4,2023,1,Rough,1,2,1,1.0,0.9786,97.857,8.623,0.342,0.079,0.0,9.044,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-06,S1+RT,5,2023,1,Calm,1,2,0,1.0,0.8827,88.267,7.032,0.914,0.0,0.0,7.946,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-07,S1+RT,6,2023,1,Extreme,0,2,0,0.0,0.4877,48.771,5.9,1.02,0.0,4.334,6.92,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-08,S1+RT,7,2023,1,Extreme,0,0,0,1.0,0.996,99.599,5.9,0.192,0.0,4.124,6.092,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-09,S1+RT,8,2023,1,Extreme,0,0,0,1.0,0.9796,97.962,5.9,1.811,0.0,3.69,7.711,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-10,S1+RT,9,2023,1,Calm,1,0,2,1.0,0.8955,89.555,7.918,0.079,0.572,0.0,8.569,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-11,S1+RT,10,2023,1,Calm,1,2,0,1.0,0.9513,95.128,9.94,0.231,0.0,0.0,10.171,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-12,S1+RT,11,2023,1,Calm,1,0,0,1.0,0.9201,92.005,9.491,0.192,0.0,0.0,9.683,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-13,S1+RT,12,2023,1,Rough,1,1,0,1.0,0.8985,89.847,8.505,0.586,0.0,0.0,9.091,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-14,S1+RT,13,2023,1,Rough,0,2,0,1.0,0.893,89.302,5.9,0.297,0.0,4.258,6.197,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-15,S1+RT,14,2023,1,Rough,1,7,0,1.0,0.8704,87.04,8.097,0.397,0.0,0.0,8.494,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-16,S1+RT,15,2023,1,Moderate,1,5,0,1.0,0.9324,93.24,9.552,0.145,0.0,0.0,9.698,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-17,S1+RT,16,2023,1,Calm,1,2,1,1.0,0.917,91.699,7.072,0.063,0.18,0.0,7.315,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-18,S1+RT,17,2023,1,Moderate,1,2,1,1.0,0.9268,92.683,7.543,0.481,0.103,0.0,8.128,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-19,S1+RT,18,2023,1,Calm,0,2,1,1.0,0.8823,88.23,5.9,0.37,0.242,4.282,6.512,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-20,S1+RT,19,2023,1,Rough,0,1,0,1.0,0.9908,99.079,5.9,0.811,0.0,3.775,6.711,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
2023-01-21,S1+RT,20,2023,1,Rough,1,2,2,1.0,0.9458,94.579,8.407,0.226,0.151,0.0,8.785,RT: R(t) <= theta_crit,CTV only (S1 logistics),P1 only,None (no closed-loop),Idle charter fee applied
