strategy,label,year,total_cost_B,om_cost_B,downtime_cost_B,operational_ao_pct,energy_aep_pct,n_failures,n_critical_fail,n_pm,n_deferred,carbon_tCO2,power_mwh,pending_downtime_B,wasted_charter_B
S1_NoWeather,S1: Fixed PM / No Weather,2023,2.7467985187693578,2.3831035145066886,0.3636950042626692,99.81917808219178,93.58920547945205,173,62,100,0,18.18313814521171,399713.5690961938,0.10583650013274624,0.487968
S1_NoWeather,S1: Fixed PM / No Weather,2024,12.409149813457303,6.045628746449044,6.363521067008259,97.59562841530054,86.93322404371584,370,132,100,0,28.701862850971928,442573.4242605333,1.9253192546638584,0.713184
S1_NoWeather,S1: Fixed PM / No Weather,2025,24.131072782149396,7.142389286890947,16.98868349525845,98.76164383561644,69.84394520547946,422,150,100,0,32.77392008639309,296484.3044194586,2.8534148440536984,0.56304
S2_WeatherCTV,S2: Fixed PM / Weather-Aware,2023,4.50629527747995,4.217285485480374,0.28900979199957577,99.76438356164384,93.6933698630137,160,56,100,0,30.575688138708742,400193.9353851415,0.11089421833583886,0.0
S2_WeatherCTV,S2: Fixed PM / Weather-Aware,2024,12.398449381698159,11.195340607389907,1.2031087743082514,99.448087431694,92.94584699453554,410,128,100,0,71.15278618789525,475786.3876963159,0.30881788893809653,0.0
S2_WeatherCTV,S2: Fixed PM / Weather-Aware,2025,14.557175919429397,11.668318988978806,2.888856930450595,98.98082191780823,90.10690410958904,503,176,100,0,71.8070950323974,387228.3091188276,0.7882944284378272,0.0
S3_MultiPort,S3: Multi-Port / Weather,2023,5.930138728393123,5.296088848271637,0.6340498801214857,99.57260273972602,93.3105205479452,173,67,100,0,34.94757644194933,397973.491289884,0.3473719308862873,0.0
S3_MultiPort,S3: Multi-Port / Weather,2024,11.782899129093778,10.808152873272304,0.9747462558214747,99.53005464480874,93.12464480874317,368,130,100,911,68.37715523571713,477252.48438282113,0.3772416666522211,0.0
S3_MultiPort,S3: Multi-Port / Weather,2025,14.185593093233567,11.628027288928097,2.557565804305471,98.93698630136987,90.5408219178082,495,161,100,1110,71.8070950323974,389361.4706979849,0.7556152892819178,0.0
HMDP_CBM,HMDP: CBM + Hierarchical Greedy,2023,8.621261026457024,8.1639256430646,0.45733538339242435,99.9123287671233,93.4490410958904,146,43,307,103,60.449717680391466,399110.7763754936,0.12164865313379562,0.0
HMDP_CBM,HMDP: CBM + Hierarchical Greedy,2024,16.657339278802826,11.50646857271564,5.150870706087184,99.8032786885246,87.52715846994535,222,45,306,425,73.85788876889846,450364.67305841635,0.5392351168455438,0.0
HMDP_CBM,HMDP: CBM + Hierarchical Greedy,2025,18.148049309289814,10.42195279973172,7.7260965095580945,99.88493150684933,82.63791780821917,224,49,303,188,71.8070950323974,356090.97193763487,0.40452711632721533,0.0
