repair_day_idx,turbine_id,component,severity,rf,age_before_wk,age_after_wk,rel_before,rel_after,hazard_before,hazard_after,strategy
63,1,Generator,Major Replacement,0.9,35.94,3.59,0.8734,0.9996,0.00941,0.0003,S1_NoWeather
115,1,Hub,Minor Repair,0.35,68.34,44.42,0.5094,0.7947,0.02467,0.01293,S1_NoWeather
163,1,Blades,Minor Repair,0.35,63.87,41.51,0.5658,0.8237,0.02229,0.01168,S1_NoWeather
164,1,Blades,Minor Repair,0.35,41.51,26.98,0.8237,0.9361,0.01168,0.00612,S1_NoWeather
195,1,Service Items,Minor Repair,0.35,60.73,39.47,0.6053,0.8428,0.02067,0.01083,S1_NoWeather
202,1,Service Items,Minor Repair,0.35,40.47,26.31,0.8336,0.9399,0.01125,0.00589,S1_NoWeather
230,1,Gearbox,Major Replacement,0.9,80.93,8.09,0.3573,0.9968,0.0318,0.00101,S1_NoWeather
349,1,Pitch/Hydraulic System,Major Repair,0.55,93.7,42.16,0.2266,0.8174,0.03961,0.01196,S1_NoWeather
360,1,Service Items,Minor Repair,0.35,49.31,32.05,0.7421,0.9034,0.01512,0.00792,S1_NoWeather
444,1,Pitch/Hydraulic System,Major Repair,0.55,55.16,24.82,0.6738,0.9478,0.01789,0.0054,S1_NoWeather
458,1,Blades,Minor Repair,0.35,68.98,44.84,0.5013,0.7904,0.02502,0.01311,S1_NoWeather
462,1,Service Items,Minor Repair,0.35,46.05,29.93,0.7777,0.9179,0.01365,0.00715,S1_NoWeather
510,1,Pumps/Motors,Minor Repair,0.35,96.54,62.75,0.202,0.5799,0.04143,0.02171,S1_NoWeather
538,1,Controls,Minor Repair,0.35,121.3,78.85,0.0589,0.3812,0.05835,0.03058,S1_NoWeather
557,1,Grease/Oil/Cooling Liquid,Minor Repair,0.35,89.71,58.31,0.2641,0.6354,0.03711,0.01945,S1_NoWeather
581,1,Sensors,Minor Repair,0.35,110.52,71.84,0.1061,0.4658,0.05074,0.02659,S1_NoWeather
586,1,Generator,Minor Repair,0.35,78.59,51.09,0.3842,0.7219,0.03043,0.01595,S1_NoWeather
