date,turbine_id,component,component_list,severity,event_type,criticality,eta_derating,duration_hr,hours_remaining,arrival_day_idx,crew_teams,parts_cost,age_weeks,reliability_trigger,n_comps_serviced,completion_day_idx,delay_days,wb_hazard,reliability,strategy
2023-01-01,6,Generator,['Generator'],Minor Repair,CBM_PM,Critical,0.0,4.340704516132427,4.340704516132427,0,1,500000,53.9,0.6893,1.0,0,0,,,HMDP_CBM
2023-01-02,40,Gearbox,['Gearbox'],Minor Repair,CBM_PM,Critical,0.0,4.467047223846172,4.467047223846172,1,1,500000,52.5,0.705,1.0,1,0,,,HMDP_CBM
2023-01-02,46,Gearbox,['Gearbox'],Minor Repair,CBM_PM,Critical,0.0,11.715204979252443,8.182252203098614,1,1,500000,52.0,0.7119,1.0,2,1,,,HMDP_CBM
2023-01-02,14,Hub,['Hub'],Minor Repair,CBM_PM,Critical,0.0,6.621220194279023,5.803472397377637,1,1,500000,51.4,0.7185,1.0,3,2,,,HMDP_CBM
2023-01-01,31,Blades,['Blades'],Minor Repair,CBM_PM,Critical,0.0,5.862448762951817,1.203153279084244,0,1,500000,53.7,0.6911,1.0,3,3,,,HMDP_CBM
2023-01-01,32,Blades,['Blades'],Minor Repair,CBM_PM,Critical,0.0,8.654867631880787,6.661493308342668,0,1,500000,51.8,0.7134,1.0,4,4,,,HMDP_CBM
2023-01-02,21,Blades,['Blades'],Minor Repair,CBM_PM,Critical,0.0,4.018014539969741,1.6795078483124088,1,1,500000,51.3,0.7195,1.0,5,4,,,HMDP_CBM
2023-01-01,11,Tower/Foundation,['Tower/Foundation'],Minor Repair,CBM_PM,Critical,0.0,4.429038483600896,4.429038483600896,0,1,500000,54.5,0.6818,1.0,5,5,,,HMDP_CBM
2023-01-01,24,Tower/Foundation,['Tower/Foundation'],Minor Repair,CBM_PM,Critical,0.0,3.225613576629959,0.3341599085432634,0,1,500000,53.1,0.6981,1.0,6,6,,,HMDP_CBM
2023-01-01,16,Tower/Foundation,['Tower/Foundation'],Minor Repair,CBM_PM,Critical,0.0,7.593382253626259,7.593382253626259,0,1,500000,53.0,0.6991,1.0,6,6,,,HMDP_CBM
2023-01-01,22,Tower/Foundation,['Tower/Foundation'],Minor Repair,CBM_PM,Critical,0.0,4.416318596698241,3.3438607588677627,0,1,500000,52.8,0.7024,1.0,7,7,,,HMDP_CBM
2023-01-09,37,Generator,['Generator'],Minor Repair,CBM_PM,Critical,0.0,5.82717413242578,5.82717413242578,8,1,500000,51.3,0.7198,1.0,8,0,,,HMDP_CBM
2023-01-09,35,Hub,['Hub'],Minor Repair,CBM_PM,Critical,0.0,3.128167043393984,3.128167043393984,8,1,500000,51.8,0.714,1.0,8,0,,,HMDP_CBM
2023-01-09,23,Blades,['Blades'],Minor Repair,CBM_PM,Critical,0.0,9.840203414801042,0.795544590620807,8,1,500000,51.8,0.714,1.0,10,2,,,HMDP_CBM
2023-01-09,28,Tower/Foundation,['Tower/Foundation'],Minor Repair,CBM_PM,Critical,0.0,10.1187368382476,1.9142814288684065,8,1,500000,51.9,0.7124,1.0,11,3,,,HMDP_CBM
2023-01-09,39,Tower/Foundation,['Tower/Foundation'],Minor Repair,CBM_PM,Critical,0.0,5.3791058641470295,5.3791058641470295,8,1,500000,51.8,0.7136,1.0,11,3,,,HMDP_CBM
2023-01-01,25,Tower/Foundation,['Tower/Foundation'],Minor Repair,CBM_PM,Critical,0.0,7.932218343076385,2.2760791019441475,0,1,500000,51.7,0.7149,1.0,11,11,,,HMDP_CBM
2023-01-02,44,Tower/Foundation,['Tower/Foundation'],Minor Repair,CBM_PM,Critical,0.0,4.561758622763158,2.131225017722741,1,1,500000,51.3,0.7194,1.0,12,11,,,HMDP_CBM
2023-01-16,48,Gearbox,['Gearbox'],Minor Repair,CBM_PM,Critical,0.0,7.1900909946508955,7.1900909946508955,15,1,500000,52.0,0.7112,1.0,15,0,,,HMDP_CBM
2023-01-01,10,Generator+1more,"['Generator', 'Hub']",Minor Repair,CBM_PM,Critical,0.0,7.769512401284258,1.0908284136578947,0,1,1000000,54.3,0.6838,2.0,16,16,,,HMDP_CBM
2023-01-01,26,Tower/Foundation+1more,"['Tower/Foundation', 'Blades']",Minor Repair,CBM_PM,Critical,0.0,5.042185413346412,5.042185413346412,0,1,1000000,53.3,0.696,2.0,16,16,,,HMDP_CBM
2023-01-02,42,Blades+2more,"['Blades', 'Hub', 'Tower/Foundation']",Minor Repair,CBM_PM,Critical,0.0,8.627265712488644,6.7602795394929505,1,1,1500000,53.0,0.6995,3.0,17,16,,,HMDP_CBM
2023-01-09,18,Generator+1more,"['Generator', 'Tower/Foundation']",Minor Repair,CBM_PM,Critical,0.0,7.365048979410814,5.125328518903764,8,1,1000000,52.0,0.7107,2.0,18,10,,,HMDP_CBM
