date,turbine_id,component,severity,event_type,criticality,eta_derating,duration_hr,hours_remaining,arrival_day_idx,crew_teams,parts_cost,age_weeks,wb_hazard,reliability,completion_day_idx,delay_days,strategy
2023-01-04,42,Generator,Major Repair,FAIL,Critical,0.8,8.736729550727109,8.736729550727109,3,2,10000000,26.8,0.0061,0.9369,3,0,S1_NoWeather
2023-01-07,18,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,5.958702404742832,5.958702404742832,6,1,500000,25.3,0.0055,0.9455,6,0,S1_NoWeather
2023-01-08,26,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,4.923818158172882,4.923818158172882,7,1,500000,10.6,0.0015,0.9937,7,0,S1_NoWeather
2023-01-11,39,Tower/Foundation,Major Repair,FAIL,Critical,0.5,18.036209125279647,9.036209125279647,10,2,10000000,39.7,0.0109,0.841,11,1,S1_NoWeather
2023-01-14,35,Pitch/Hydraulic System,Major Repair,FAIL,Semi-Critical,0.45,10.354948058096168,1.3549480580961681,13,2,10000000,55.5,0.0181,0.6698,18,5,S1_NoWeather
2023-01-21,44,Generator,Minor Repair,FAIL,Critical,0.35,6.672454761521793,6.672454761521793,20,1,500000,50.7,0.0158,0.7267,21,1,S1_NoWeather
2023-01-14,21,Pitch/Hydraulic System,Major Repair,FAIL,Semi-Critical,0.45,8.080447240014689,0.43539529811085664,13,2,10000000,53.6,0.0171,0.693,21,8,S1_NoWeather
2023-01-23,11,Hub,Minor Repair,FAIL,Critical,0.3,8.741951563020502,8.741951563020502,22,1,500000,21.0,0.0042,0.9651,22,0,S1_NoWeather
2023-01-26,50,Tower/Foundation,Minor Repair,FAIL,Critical,0.1,3.918735581672413,3.918735581672413,25,1,500000,22.9,0.0048,0.9571,25,0,S1_NoWeather
2023-01-25,8,Electrical Components,Minor Repair,FAIL,Non-Critical,0.05,3.92477497041555,3.92477497041555,24,1,500000,55.3,0.0179,0.6727,25,1,S1_NoWeather
2023-01-25,36,Pumps/Motors,Minor Repair,FAIL,Non-Critical,0.04,5.3777230348652445,4.221233586953208,24,1,500000,46.0,0.0136,0.7786,28,4,S1_NoWeather
2023-02-06,4,Blades,Minor Repair,FAIL,Critical,0.2,7.4832847584006315,7.4832847584006315,36,1,500000,39.4,0.0108,0.8431,36,0,S1_NoWeather
2023-02-07,47,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,1.6150242775667358,1.6150242775667358,37,1,500000,30.8,0.0075,0.9121,37,0,S1_NoWeather
2023-02-11,20,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,2.786875029844593,2.786875029844593,41,1,500000,58.3,0.0194,0.6355,41,0,S1_NoWeather
2023-02-14,1,Blades,Minor Repair,FAIL,Critical,0.2,4.811848103491956,4.811848103491956,44,1,500000,46.9,0.014,0.769,46,2,S1_NoWeather
2023-02-15,34,Sensors,Major Repair,FAIL,Non-Critical,0.08,10.71190062967892,6.523748733170876,45,2,10000000,48.0,0.0145,0.7563,47,2,S1_NoWeather
2023-02-19,2,Gearbox,Minor Repair,FAIL,Critical,0.4,4.84262589967789,4.84262589967789,49,1,500000,49.9,0.0154,0.7354,49,0,S1_NoWeather
2023-02-24,37,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,4.179887891704973,4.179887891704973,54,1,500000,46.9,0.014,0.769,54,0,S1_NoWeather
2023-02-25,17,Sensors,Major Repair,FAIL,Non-Critical,0.08,3.0898682478288495,3.0898682478288495,55,2,10000000,53.1,0.0169,0.6984,56,1,S1_NoWeather
2023-03-02,1,Generator,Major Repair,FAIL,Critical,0.8,8.23074110635187,8.23074110635187,60,2,10000000,35.9,0.0094,0.8734,61,1,S1_NoWeather
2023-02-28,13,Sensors,Major Repair,FAIL,Non-Critical,0.08,8.560067873398335,7.790808979750205,58,2,10000000,60.2,0.0204,0.6114,62,4,S1_NoWeather
2023-03-08,25,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,5.094483878729351,5.094483878729351,66,1,500000,49.9,0.0154,0.7354,67,1,S1_NoWeather
2023-03-09,23,Sensors,Minor Repair,FAIL,Non-Critical,0.02,2.277001923618219,2.277001923618219,67,1,500000,59.0,0.0198,0.6273,67,0,S1_NoWeather
2023-03-11,20,Generator,Minor Repair,FAIL,Critical,0.35,4.476505914076522,4.476505914076522,69,1,500000,44.7,0.013,0.792,69,0,S1_NoWeather
2023-03-11,47,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,3.663187070190694,3.663187070190694,69,1,500000,58.7,0.0196,0.6306,69,0,S1_NoWeather
2023-03-12,15,Gearbox,Minor Repair,FAIL,Critical,0.4,7.068634727468579,7.068634727468579,70,1,500000,26.8,0.0061,0.9369,70,0,S1_NoWeather
2023-03-13,19,Sensors,Minor Repair,FAIL,Non-Critical,0.02,2.37225184846976,2.37225184846976,71,1,500000,59.0,0.0198,0.6264,71,0,S1_NoWeather
2023-03-14,19,Generator,Minor Repair,FAIL,Critical,0.35,2.6518926599814816,2.6518926599814816,72,1,500000,48.6,0.0148,0.7497,72,0,S1_NoWeather
2023-03-15,5,Pumps/Motors,Minor Repair,FAIL,Non-Critical,0.04,5.748813777064883,5.748813777064883,73,1,500000,56.7,0.0186,0.6551,73,0,S1_NoWeather
2023-03-16,7,Sensors,Major Repair,FAIL,Non-Critical,0.08,5.262533536004788,5.262533536004788,74,2,10000000,52.0,0.0164,0.7116,74,0,S1_NoWeather
2023-03-23,38,Generator,Major Repair,FAIL,Critical,0.8,13.726516566356711,4.726516566356711,81,2,10000000,66.9,0.0239,0.5271,82,1,S1_NoWeather
2023-03-23,25,Tower/Foundation,Major Repair,FAIL,Critical,0.5,19.505263163868168,6.231779730224879,81,2,10000000,66.0,0.0234,0.5388,84,3,S1_NoWeather
2023-03-23,48,Blades,Minor Repair,FAIL,Critical,0.2,5.5255475011228725,2.7573272313477517,81,1,500000,65.1,0.0229,0.5506,85,4,S1_NoWeather
2023-03-24,12,Sensors,Major Repair,FAIL,Non-Critical,0.08,7.559951933615833,1.317279164963585,82,2,10000000,50.9,0.0159,0.7242,86,4,S1_NoWeather
2023-03-26,46,Electrical Components,Minor Repair,FAIL,Non-Critical,0.05,3.495922648516429,3.495922648516429,84,1,500000,61.9,0.0213,0.591,86,2,S1_NoWeather
2023-03-30,33,Sensors,Minor Repair,FAIL,Non-Critical,0.02,3.7030846780133997,3.7030846780133997,88,1,500000,49.5,0.0152,0.7395,88,0,S1_NoWeather
2023-04-05,13,Blades,Minor Repair,FAIL,Critical,0.2,5.92016520984583,5.92016520984583,94,1,500000,38.9,0.011,0.8482,96,2,S1_NoWeather
2023-04-06,24,Pumps/Motors,Minor Repair,FAIL,Non-Critical,0.04,6.326267094648152,3.2464323044939825,95,1,500000,49.3,0.0151,0.7423,98,3,S1_NoWeather
2023-04-10,1,Pitch/Hydraulic System,Major Repair,FAIL,Semi-Critical,0.45,16.623687147104135,7.623687147104135,99,2,10000000,58.7,0.0196,0.6306,102,3,S1_NoWeather
2023-04-18,31,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,5.592976812032994,5.592976812032994,107,1,500000,70.5,0.0258,0.4829,107,0,S1_NoWeather
2023-04-22,22,Controls,Minor Repair,FAIL,Semi-Critical,0.1,3.116808117472768,3.116808117472768,111,1,500000,70.3,0.0258,0.4845,114,3,S1_NoWeather
2023-04-22,48,Yaw System,Minor Repair,FAIL,Semi-Critical,0.05,4.756786780738781,4.756786780738781,111,1,500000,46.9,0.014,0.7692,114,3,S1_NoWeather
2023-04-28,11,Generator,Major Repair,FAIL,Critical,0.8,13.599737544079728,4.599737544079728,117,2,10000000,66.7,0.0238,0.5304,119,2,S1_NoWeather
2023-04-28,9,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,3.9303891709102796,3.9303891709102796,117,1,500000,45.7,0.0135,0.7817,119,2,S1_NoWeather
2023-04-30,14,Controls,Minor Repair,FAIL,Semi-Critical,0.1,3.9936728122792307,3.5237995272692384,119,1,500000,61.8,0.0212,0.5913,120,1,S1_NoWeather
2023-04-29,46,Yaw System,Minor Repair,FAIL,Semi-Critical,0.05,3.3758181771344917,3.3758181771344917,118,1,500000,55.2,0.0179,0.6736,120,2,S1_NoWeather
2023-05-12,18,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,6.845820238373829,6.845820238373829,131,1,500000,34.4,0.0088,0.8857,131,0,S1_NoWeather
2023-05-24,39,Pitch/Hydraulic System,Major Repair,FAIL,Semi-Critical,0.45,9.2062848728352,9.2062848728352,143,2,10000000,57.7,0.0192,0.6426,143,0,S1_NoWeather
2023-05-26,2,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,7.764425067129906,7.764425067129906,145,1,500000,67.4,0.0242,0.5215,145,0,S1_NoWeather
2023-05-28,44,Blades,Minor Repair,FAIL,Critical,0.2,10.221805059359111,1.2218050593591112,147,1,500000,34.1,0.0087,0.8879,148,1,S1_NoWeather
2023-06-01,10,Yaw System,Minor Repair,FAIL,Semi-Critical,0.05,4.6556455934947705,4.6556455934947705,151,1,500000,29.2,0.0069,0.9224,151,0,S1_NoWeather
2023-06-04,19,Gearbox,Minor Repair,FAIL,Critical,0.4,5.094352462990489,5.094352462990489,154,1,500000,67.2,0.0241,0.5235,154,0,S1_NoWeather
