date,turbine_id,component,severity,event_type,criticality,eta_derating,duration_hr,hours_remaining,arrival_day_idx,crew_teams,parts_cost,age_weeks,wb_hazard,reliability,completion_day_idx,delay_days,strategy
2023-01-01,44,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,4.175399553286243,4.175399553286243,0,1,500000,34.9,0.009,0.8819,0,0,S2_WeatherCTV
2023-01-02,40,Generator,Minor Repair,FAIL,Critical,0.35,8.187073905786532,0.18707390578653182,1,1,500000,55.5,0.018,0.6701,2,1,S2_WeatherCTV
2023-01-07,22,Hub,Minor Repair,FAIL,Critical,0.3,3.433068597905801,3.433068597905801,6,1,500000,49.8,0.0153,0.7369,6,0,S2_WeatherCTV
2023-01-09,33,Generator,Major Replacement,FAIL,Critical,1.0,45.210707393517914,6.2107073935179145,8,3,30000000,46.5,0.0139,0.7724,12,4,S2_WeatherCTV
2023-01-20,2,Gearbox,Minor Repair,FAIL,Critical,0.4,5.460853774950774,5.460853774950774,19,1,500000,28.8,0.0068,0.9251,19,0,S2_WeatherCTV
2023-01-23,20,Generator,Major Repair,FAIL,Critical,0.8,23.903149707961102,6.903149707961102,22,2,10000000,40.0,0.0111,0.8377,25,3,S2_WeatherCTV
2023-01-23,18,Controls,Minor Repair,FAIL,Semi-Critical,0.1,3.26949096723615,1.1726406751972522,22,1,500000,48.8,0.0149,0.7483,26,4,S2_WeatherCTV
2023-02-03,1,Gearbox,Minor Repair,FAIL,Critical,0.4,3.1799898657609997,3.1799898657609997,33,1,500000,19.5,0.0038,0.9711,33,0,S2_WeatherCTV
2023-02-05,19,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,1.9699409809825155,1.9699409809825155,35,1,500000,57.4,0.019,0.6472,35,0,S2_WeatherCTV
2023-02-06,45,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,6.409576530557699,6.409576530557699,36,1,500000,33.4,0.0084,0.8938,36,0,S2_WeatherCTV
2023-02-06,41,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,3.9863855002081174,3.9863855002081174,36,1,500000,56.1,0.0184,0.662,36,0,S2_WeatherCTV
2023-02-12,16,Pitch/Hydraulic System,Major Repair,FAIL,Semi-Critical,0.45,8.301052314728944,8.301052314728944,42,2,10000000,55.6,0.0181,0.6679,42,0,S2_WeatherCTV
2023-02-19,36,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,7.387995673246586,7.387995673246586,49,1,500000,30.6,0.0074,0.9137,49,0,S2_WeatherCTV
2023-02-21,25,Contactor/Circuit/Relay,Minor Repair,FAIL,Non-Critical,0.03,2.9390708158015535,2.9390708158015535,51,1,500000,48.5,0.0148,0.7511,51,0,S2_WeatherCTV
2023-02-22,27,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,4.4514942614279915,4.4514942614279915,52,1,500000,30.1,0.0072,0.9165,52,0,S2_WeatherCTV
