date,turbine_id,component,severity,event_type,criticality,eta_derating,duration_hr,hours_remaining,arrival_day_idx,crew_teams,parts_cost,age_weeks,wb_hazard,reliability,completion_day_idx,delay_days,strategy
2023-01-01,50,Tower/Foundation,Major Repair,FAIL,Critical,0.5,11.630021145354549,2.630021145354549,0,2,10000000,38.1,0.0103,0.8552,1,1,S3_MultiPort
2023-01-02,16,Contactor/Circuit/Relay,Major Repair,FAIL,Non-Critical,0.1,5.83159711667898,0.46161826203352874,1,2,10000000,41.5,0.0117,0.8241,2,1,S3_MultiPort
2023-01-18,35,Electrical Components,Minor Repair,FAIL,Non-Critical,0.05,5.190299781924142,5.190299781924142,17,1,500000,45.2,0.0133,0.7862,17,0,S3_MultiPort
2023-01-18,34,Sensors,Minor Repair,FAIL,Non-Critical,0.02,4.504676551252622,0.694976333176764,17,1,500000,54.7,0.0177,0.6797,18,1,S3_MultiPort
2023-01-20,24,Generator,Minor Repair,FAIL,Critical,0.35,7.951142232517347,7.951142232517347,19,1,500000,43.3,0.0124,0.8061,19,0,S3_MultiPort
2023-02-03,47,Gearbox,Major Replacement,FAIL,Critical,1.0,16.153340713759125,7.153340713759125,33,3,30000000,19.9,0.0039,0.9698,34,1,S3_MultiPort
2023-02-03,48,Controls,Minor Repair,FAIL,Semi-Critical,0.1,2.5780203432048827,0.7313610569640074,33,1,500000,45.0,0.0132,0.7883,35,2,S3_MultiPort
2023-02-03,13,Contactor/Circuit/Relay,Minor Repair,FAIL,Non-Critical,0.03,3.549541710264322,3.549541710264322,33,1,500000,54.6,0.0176,0.6808,35,2,S3_MultiPort
2023-02-07,27,Pumps/Motors,Major Repair,FAIL,Non-Critical,0.12,15.598192516257555,6.598192516257555,37,2,10000000,55.5,0.0181,0.6694,38,1,S3_MultiPort
2023-02-10,29,Electrical Components,Major Repair,FAIL,Non-Critical,0.15,9.645893127948012,0.6458931279480122,40,2,10000000,48.5,0.0148,0.751,41,1,S3_MultiPort
2023-02-16,14,Sensors,Minor Repair,FAIL,Non-Critical,0.02,1.497171356268221,1.497171356268221,46,1,500000,51.7,0.0162,0.7149,46,0,S3_MultiPort
2023-02-17,41,Gearbox,Major Replacement,FAIL,Critical,1.0,25.87442356343506,4.874423563435059,47,3,30000000,53.8,0.0173,0.6897,49,2,S3_MultiPort
2023-02-26,48,Controls,Minor Repair,FAIL,Semi-Critical,0.1,4.388376054361126,4.388376054361126,56,1,500000,32.3,0.008,0.9018,56,0,S3_MultiPort
2023-02-27,24,Gearbox,Minor Repair,FAIL,Critical,0.4,5.426748859521704,5.426748859521704,57,1,500000,63.8,0.0223,0.5666,57,0,S3_MultiPort
2023-03-02,5,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,3.5162371014228624,3.5162371014228624,60,1,500000,40.3,0.0112,0.835,60,0,S3_MultiPort
2023-03-06,33,Heaters/Coolers,Minor Repair,FAIL,Non-Critical,0.02,4.289850574584921,4.289850574584921,64,1,500000,64.6,0.0227,0.5563,64,0,S3_MultiPort
2023-03-07,41,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,3.3421279926649463,3.3421279926649463,65,1,500000,64.8,0.0228,0.5545,65,0,S3_MultiPort
2023-03-08,23,Blades,Minor Repair,FAIL,Critical,0.2,11.696957678536693,3.696957678536693,66,1,500000,51.8,0.0163,0.7142,67,1,S3_MultiPort
2023-03-09,47,Power Supply/Converter,Minor Repair,FAIL,Semi-Critical,0.15,3.9378411763788286,3.9378411763788286,67,1,500000,55.9,0.0183,0.6649,67,0,S3_MultiPort
2023-03-12,7,Contactor/Circuit/Relay,Major Replacement,FAIL,Non-Critical,0.2,8.73892300755886,8.73892300755886,70,3,30000000,60.3,0.0205,0.6104,70,0,S3_MultiPort
2023-03-21,13,Hub,Minor Repair,FAIL,Critical,0.3,5.637898754850325,5.637898754850325,79,1,500000,51.1,0.0159,0.7219,79,0,S3_MultiPort
2023-04-01,21,Gearbox,Major Replacement,FAIL,Critical,1.0,17.491370510616225,0.4913705106162247,90,3,30000000,59.5,0.02,0.6211,92,2,S3_MultiPort
2023-04-01,3,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,1.8389118110022362,1.8389118110022362,90,1,500000,64.2,0.0224,0.5622,92,2,S3_MultiPort
2023-04-09,45,Gearbox,Major Replacement,FAIL,Critical,1.0,40.223008971766845,6.223008971766845,98,3,30000000,68.2,0.0246,0.5111,102,4,S3_MultiPort
2023-04-15,42,Tower/Foundation,Minor Repair,FAIL,Critical,0.1,3.7218012371962685,3.7218012371962685,104,1,500000,22.5,0.0047,0.959,104,0,S3_MultiPort
2023-04-16,26,Gearbox,Minor Repair,FAIL,Critical,0.4,5.689943642496536,5.689943642496536,105,1,500000,43.5,0.0125,0.804,105,0,S3_MultiPort
2023-04-16,32,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,3.001589853682841,3.001589853682841,105,1,500000,33.0,0.0083,0.8962,105,0,S3_MultiPort
2023-04-29,50,Grease/Oil/Cooling Liquid,Minor Repair,FAIL,Non-Critical,0.02,4.332672697064993,4.332672697064993,118,1,500000,63.1,0.0219,0.5758,118,0,S3_MultiPort
2023-04-30,17,Generator,Minor Repair,FAIL,Critical,0.35,6.035790895779926,6.035790895779926,119,1,500000,26.6,0.006,0.938,119,0,S3_MultiPort
2023-05-02,17,Gearbox,Minor Repair,FAIL,Critical,0.4,7.762354651703432,7.762354651703432,121,1,500000,34.2,0.0087,0.8872,121,0,S3_MultiPort
2023-05-03,46,Gearbox,Minor Repair,FAIL,Critical,0.4,7.016147826062405,7.016147826062405,122,1,500000,59.7,0.0202,0.6178,122,0,S3_MultiPort
2023-05-04,23,Blades,Minor Repair,FAIL,Critical,0.2,5.207056520839943,5.207056520839943,123,1,500000,41.6,0.0117,0.8224,123,0,S3_MultiPort
2023-05-10,47,Electrical Components,Minor Repair,FAIL,Non-Critical,0.05,5.018021228391463,5.018021228391463,129,1,500000,70.4,0.0258,0.4842,129,0,S3_MultiPort
2023-05-12,35,Blades,Minor Repair,FAIL,Critical,0.2,6.563468074054235,6.563468074054235,131,1,500000,66.8,0.0238,0.5291,131,0,S3_MultiPort
2023-05-12,32,Contactor/Circuit/Relay,Minor Repair,FAIL,Non-Critical,0.03,3.0068344176770743,0.5703024917313093,131,1,500000,59.7,0.0201,0.6181,132,1,S3_MultiPort
2023-05-15,37,Sensors,Minor Repair,FAIL,Non-Critical,0.02,2.383854855613882,2.383854855613882,134,1,500000,73.4,0.0274,0.4471,134,0,S3_MultiPort
2023-05-17,17,Hub,Minor Repair,FAIL,Critical,0.3,5.2959630689495265,5.2959630689495265,136,1,500000,52.6,0.0166,0.7049,136,0,S3_MultiPort
2023-05-18,33,Blades,Minor Repair,FAIL,Critical,0.2,9.267513646328183,0.2675136463281831,137,1,500000,56.5,0.0186,0.6573,138,1,S3_MultiPort
2023-05-21,15,Generator,Minor Repair,FAIL,Critical,0.35,2.6003215486440006,2.6003215486440006,140,1,500000,40.1,0.0111,0.8372,140,0,S3_MultiPort
2023-05-23,23,Pitch/Hydraulic System,Minor Repair,FAIL,Semi-Critical,0.15,5.570307681179092,5.570307681179092,142,1,500000,53.1,0.0169,0.6988,142,0,S3_MultiPort
2023-06-03,44,Gearbox,Major Replacement,FAIL,Critical,1.0,30.053914298204887,6.053914298204887,153,3,30000000,57.3,0.019,0.6475,155,2,S3_MultiPort
