strategy,year,ship_cost_B,port_cost_B,labor_cost_B,backlog_cost_B,parts_cost_B,downtime_cost_B,total_B
S1_NoWeather,2023,0.8537,0.3611,0.3921,0.0386,0.534,0.0001,2.1796
S1_NoWeather,2024,1.9516,0.8256,0.9565,0.1616,1.2835,0.0005,5.1793
S1_NoWeather,2025,2.2603,0.9562,1.0705,0.3029,1.346,0.0006,5.9365
S2_WeatherCTV,2023,3.4581,0.3484,0.4053,0.1011,0.544,0.0003,4.8571
S2_WeatherCTV,2024,8.7127,0.817,0.9322,0.5403,1.1495,0.0012,12.1529
S2_WeatherCTV,2025,7.9892,0.8926,0.9994,0.296,1.512,0.0014,11.6906
S3_MultiPort,2023,3.2427,0.4071,0.5093,0.1324,0.749,0.0003,5.0409
S3_MultiPort,2024,8.6237,0.821,0.9525,0.477,1.2105,0.0014,12.0861
S3_MultiPort,2025,7.9892,0.8926,1.0005,0.4729,1.303,0.0017,11.6599
HMDP_CBM,2023,7.2108,0.9022,0.6906,1.1786,1.0395,0.0024,11.0241
HMDP_CBM,2024,8.7905,0.8447,0.6449,2.4079,0.606,0.0069,13.3008
HMDP_CBM,2025,7.9892,0.8926,0.6968,2.3441,0.5205,0.0063,12.4494
