date,strategy,vessel,port,weather_scenario,accessible,cap_hr_used,ship_cost,port_cost,labor_cost,pending_downtime_cost,emissions_kg,n_completed,n_deferred,n_attempted,n_pending,wasted_charter_cost,year,month,season,week_of_year,wind_speed,wave_height,ctv_ok,sov_ok,n_new_failures,n_critical_failures,n_pm_today,n_pending_total,parts_cost,n_turbines_operational,operational_ao,energy_aep,power_mwh,downtime_cost,total_om_cost,total_cost
2023-01-01,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0,502662.89979227434,121.6792656587473,1,0,2,9,0.0,2023,1,Winter,52,7.7,1.4,1,1,0,0,10,9,6000000,50,1.0,1.0,1014.3504986769801,0.0,15552230.579309419,15552230.579309419
2023-01-02,HMDP_CBM,SOV,P1,Rough Sea,True,8.0,62567544.9964003,2191780.821917808,533333.3333333334,823611.3783602152,382.67818574514035,1,0,2,15,0.0,2023,1,Winter,1,7.7,1.5,1,1,1,0,6,15,4500000,50,1.0,0.9992000000000006,1013.5390182780386,126185.2020353254,70616270.53001165,70742455.73204698
2023-01-03,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0000000001,734876.3439597874,121.6792656587473,1,0,2,15,0.0,2023,1,Winter,1,8.8,1.4,1,1,1,0,0,15,500000,50,1.0,0.9987999999999995,1903.956350254427,355705.1010789415,10284444.023476932,10640149.124555875
2023-01-04,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0000000001,644876.3439597874,121.67926565874728,2,0,3,13,0.0,2023,1,Winter,1,7.8,1.3,1,1,0,0,0,13,0,50,1.0,0.9988000000000002,1079.1870345613681,201618.24254014346,9694444.023476932,9896062.266017076
2023-01-05,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0,554876.3439597874,121.6792656587473,1,0,2,12,0.0,2023,1,Winter,1,5.5,1.0,1,1,0,0,0,12,0,50,1.0,0.9988000000000004,152.4730307347853,28485.650315485203,9604444.023476932,9632929.673792418
2023-01-06,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0,464876.3439597876,121.6792656587473,2,0,3,10,0.0,2023,1,Winter,1,5.2,0.8,1,1,0,0,0,10,0,50,1.0,0.9987999999999997,103.90610120089558,19412.173091804147,9514444.023476932,9533856.196568737
2023-01-07,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0,374876.3439597876,121.67926565874728,2,0,3,8,0.0,2023,1,Winter,1,8.6,1.4,1,1,0,0,0,8,0,50,1.0,0.9987999999999999,1713.709040993283,320162.3018115124,9424444.023476932,9744606.325288445
2023-01-08,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0,284876.3439597876,121.67926565874728,1,0,2,7,0.0,2023,1,Winter,1,5.8,0.8,1,1,0,0,0,7,0,50,1.0,0.9987999999999999,214.21363012416037,40020.28772643905,9334444.023476932,9374464.311203372
2023-01-09,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.424657534,600000.0000000001,674694.2414553086,121.6792656587473,2,0,3,12,0.0,2023,1,Winter,2,8.5,1.4,1,1,0,0,7,12,4500000,50,1.0,0.9987999999999992,1623.5328312639924,303315.20455951634,14224261.920972453,14527577.12553197
2023-01-10,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0,584694.2414553086,121.6792656587473,0,0,1,12,0.0,2023,1,Winter,2,4.1,1.4,1,1,0,0,0,12,0,50,1.0,0.9987999999999997,12.98826265011193,1584374.970107877,9634261.920972453,11218636.891080331
2023-01-11,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.254859611,2465753.4246575343,600000.0,494694.24145530874,121.6792656587473,1,0,2,11,0.0,2023,1,Winter,2,6.4,0.8,1,1,0,0,0,11,0,50,1.0,0.9988000000000005,383.5392000000003,71654.39999997105,9544261.920972455,9615916.320972426
2023-01-12,HMDP_CBM,CTV,P1,Calm,True,12.0,7771814.25485961,3287671.2328767125,800000.0,374694.24145530874,159.17926565874728,3,0,4,8,0.0,2023,1,Winter,2,6.0,0.7,1,1,0,0,0,8,0,50,1.0,0.9988,263.473397109709,49223.20374515843,12234179.729191631,12283402.93293679
2023-01-13,HMDP_CBM,SOV,P1,Rough Sea,True,8.0,62567544.99640029,2191780.821917808,533333.3333333334,363015.95275089704,382.6781857451404,1,0,2,8,0.0,2023,1,Winter,2,9.3,2.0,0,1,1,0,0,8,500000,50,1.0,0.9958000000000005,2432.698254589865,1595496.3145937503,66155675.10440233,67751171.41899608
2023-01-14,HMDP_CBM,,P1,Extreme,False,0.0,0.0,0.0,0.0,70430.04273710972,0.0,0,5,0,8,0.0,2023,1,Winter,2,10.0,2.9,0,0,0,0,0,8,0,50,1.0,0.995800000000001,3337.0346427844524,2188609.4850392006,70430.04273710972,2259039.52777631
2023-01-15,HMDP_CBM,,P1,Extreme,False,0.0,0.0,0.0,0.0,70430.04273710972,0.0,0,5,0,8,0.0,2023,1,Winter,2,8.5,2.7,0,0,0,0,0,8,0,50,1.0,0.9957999999999994,1618.6563810299197,1061603.2159578474,70430.04273710972,1132033.2586949572
2023-01-16,HMDP_CBM,SOV,P1,Rough Sea,True,8.0,62567544.99640029,2191780.821917808,533333.3333333334,354916.862697406,382.6781857451404,1,0,2,8,0.0,2023,1,Winter,3,7.1,2.3,0,1,0,0,1,8,500000,50,1.0,0.9957999999999995,670.5299259922649,439770.1292082674,66147576.01434884,66587346.14355711
2023-01-17,HMDP_CBM,SOV,P1,Rough Sea,True,8.0,62567544.9964003,2191780.821917808,533333.3333333334,274916.86269740603,382.67818574514035,2,0,3,6,0.0,2023,1,Winter,3,7.3,1.5,1,1,0,0,0,6,0,50,1.0,0.9957999999999995,773.5207386118457,507317.1263180016,65567576.01434885,66074893.14066685
2023-01-18,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.424657535,600000.0,184916.86269740603,121.6792656587473,1,0,2,5,0.0,2023,1,Winter,3,5.2,1.3,1,1,0,0,0,5,0,50,1.0,0.9957999999999997,103.59400838591492,67942.60582129488,9234484.542214552,9302427.148035847
2023-01-19,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.254859611,2465753.4246575343,600000.0,94916.86269740603,121.6792656587473,1,0,2,4,0.0,2023,1,Winter,3,5.6,1.1,1,1,0,0,0,4,0,50,1.0,0.9958000000000006,170.99627079177696,112148.68894767277,9144484.542214552,9256633.231162224
2023-01-20,HMDP_CBM,SOV,P1,Rough Sea,True,8.0,62567544.99640029,2191780.821917808,533333.3333333334,28795.157707331946,382.6781857451404,1,0,2,3,0.0,2023,1,Winter,3,7.8,1.7,0,1,0,0,0,3,0,50,1.0,0.9958000000000002,1075.9455837166704,705663.8488906422,65321454.30935877,66027118.15824941
2023-01-21,HMDP_CBM,SOV,P1,Rough Sea,True,7.774906385150873,60807100.63696589,2130111.338397499,518327.0923433915,0.0,372.54897307692966,3,0,3,0,0.0,2023,1,Winter,3,2.7,1.5,1,1,0,0,0,0,0,50,1.0,0.0,0.0,0.0,63455539.06770678,63455539.06770678
2023-01-22,HMDP_CBM,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,3,3.4,1.0,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,0.62527986973336,96217.7430875495,0.0,96217.7430875495
2023-01-23,HMDP_CBM,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0,66877.01387099383,121.67926565874728,2,0,3,4,0.0,2023,1,Winter,4,7.3,1.1,1,1,1,0,5,4,3000000,50,1.0,0.9995999999999993,776.4725148788922,48315.916792268225,12116444.693388138,12164760.610180406
