date,strategy,vessel,port,weather_scenario,accessible,cap_hr_used,ship_cost,port_cost,labor_cost,pending_downtime_cost,emissions_kg,n_completed,n_deferred,n_attempted,n_pending,wasted_charter_cost,year,month,season,week_of_year,wind_speed,wave_height,ctv_ok,sov_ok,n_new_failures,n_critical_failures,n_pm_today,n_pending_total,parts_cost,n_turbines_operational,operational_ao,energy_aep,power_mwh,downtime_cost,total_om_cost,total_cost
2023-01-01,S1_NoWeather,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,52,7.7,1.4,1,1,0,0,0,0,0,50,1.0,1.0,1014.3504986769801,0.0,0.0,0.0
2023-01-02,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,0.0,0.0,0,0,0,0,4692000.0,2023,1,Winter,1,7.7,1.5,1,1,0,0,0,0,0,50,1.0,1.0,1014.3504986769801,0.0,4692000.0,4692000.0
2023-01-03,S1_NoWeather,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,1,8.8,1.4,1,1,0,0,0,0,0,50,1.0,0.9999999999999994,1906.2438428658659,1.7972883601374774e-07,0.0,1.7972883601374774e-07
2023-01-04,S1_NoWeather,CTV,P1,Moderate,True,8.736729550727109,5808774.091832675,2393624.534445783,1164897.2734302813,0.0,118.38838504283616,1,0,1,0,0.0,2023,1,Winter,1,7.8,1.3,1,1,1,1,0,0,10000000,50,1.0,1.0,1080.4836148992472,0.0,19367295.89970874,19367295.89970874
2023-01-05,S1_NoWeather,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,1,5.5,1.0,1,1,0,0,0,0,0,50,1.0,1.0,152.65621819662127,0.0,0.0,0.0
2023-01-06,S1_NoWeather,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,1,5.2,0.8,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,104.03093832688785,4.904241271357952e-09,0.0,4.904241271357952e-09
2023-01-07,S1_NoWeather,CTV,P1,Moderate,True,5.958702404742832,3961752.0433296,1632521.206778858,397246.8269828555,0.0,83.66304571803269,1,0,1,0,0.0,2023,1,Winter,1,8.6,1.4,1,1,1,0,0,0,500000,50,1.0,1.0,1715.767962548341,0.0,6491520.077091314,6491520.077091314
2023-01-08,S1_NoWeather,CTV,P1,Moderate,True,4.923818158172882,3273690.364801276,1348991.2762117486,328254.54387819214,0.0,70.72699263590832,1,0,1,0,0.0,2023,1,Winter,1,5.8,0.8,1,1,1,0,0,0,500000,50,1.0,1.0,214.47099531854263,0.0,5450936.184891216,5450936.184891216
2023-01-09,S1_NoWeather,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,2,8.5,1.4,1,1,0,0,0,0,0,50,1.0,0.9999999999999991,1625.4834113576214,1.9157192466241998e-07,0.0,1.9157192466241998e-07
2023-01-10,S1_NoWeather,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,2,4.1,1.4,1,1,0,0,0,0,0,50,1.0,0.9999999999999996,13.003867290860962,1583849.0673522248,0.0,1583849.0673522248
2023-01-11,S1_NoWeather,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,1200000.0,903620.9125279648,121.6792656587473,0,0,1,1,0.0,2023,1,Winter,2,6.4,0.8,1,1,1,1,0,1,10000000,50,1.0,0.9900000000000003,380.16000000000025,597119.999999973,20553188.59204511,21150308.592045084
2023-01-12,S1_NoWeather,CTV,P1,Calm,True,9.036209125279647,5852311.574145072,2475673.732953328,1204827.8833706197,0.0,122.13187972474289,1,0,1,0,0.0,2023,1,Winter,2,6.0,0.7,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,263.78994504376146,6.217811529238575e-09,9532813.19046902,9532813.190469025
2023-01-13,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,0.0,0.0,0,0,0,0,4692000.0,2023,1,Winter,2,9.3,2.0,0,1,0,0,0,0,0,50,1.0,1.0,2442.9586810502765,0.0,4692000.0,4692000.0
2023-01-14,S1_NoWeather,,P1,Extreme,False,0.0,4692000.0,0.0,0.0,414796.3942074943,0.0,0,0,0,2,4692000.0,2023,1,Winter,2,10.0,2.9,0,0,2,0,0,2,20000000,50,1.0,0.982000000000001,3290.7893344188915,9379754.935883913,25106796.394207492,34486551.3300914
2023-01-15,S1_NoWeather,,P1,Extreme,False,0.0,4692000.0,0.0,0.0,414796.3942074943,0.0,0,0,0,2,4692000.0,2023,1,Winter,2,8.5,2.7,0,0,0,0,0,2,0,50,1.0,0.9819999999999993,1596.2247099531844,4549728.068390178,5106796.394207494,9656524.462597672
2023-01-16,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,414796.3942074943,0.0,0,0,0,2,4692000.0,2023,1,Winter,3,7.1,2.3,0,1,0,0,0,2,0,50,1.0,0.9819999999999993,661.2375851821691,1884729.125178162,5106796.394207494,6991525.519385656
2023-01-17,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,414796.3942074943,0.0,0,0,0,2,4692000.0,2023,1,Winter,3,7.3,1.5,1,1,0,0,0,2,0,50,1.0,0.9819999999999993,762.8011300630974,2174216.255648353,5106796.394207494,7281012.6498558475
2023-01-18,S1_NoWeather,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,1200000.0,212296.39420749428,121.6792656587473,0,0,1,2,0.0,2023,1,Winter,3,5.2,1.3,1,1,0,0,0,2,0,50,1.0,0.9819999999999998,102.15838143700387,291182.59637696407,9861864.073724639,10153046.670101603
2023-01-19,S1_NoWeather,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.424657534,1200000.0,9796.394207494275,121.67926565874731,1,0,2,1,0.0,2023,1,Winter,3,5.6,1.1,1,1,0,0,0,1,0,50,1.0,0.9910000000000007,170.17202686749445,240318.61917360473,9659364.073724639,9899682.692898244
2023-01-20,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,9796.394207494275,0.0,0,0,0,1,4692000.0,2023,1,Winter,3,7.8,1.7,0,1,0,0,0,1,0,50,1.0,0.9910000000000002,1070.759262365154,1512136.819051445,4701796.394207494,6213933.213258939
2023-01-21,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,476868.2275140198,0.0,0,0,0,2,4692000.0,2023,1,Winter,3,2.7,1.5,1,1,1,1,0,2,500000,50,1.0,0.0,0.0,0.0,5668868.22751402,5668868.22751402
2023-01-22,S1_NoWeather,CTV,P1,Moderate,True,7.10785005963265,4725783.834248287,1947356.180721274,502883.0238495671,0.0,98.02739140415542,2,0,2,0,0.0,2023,1,Winter,3,3.4,1.0,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,0.62527986973336,96217.7430875495,7176023.038819129,7272240.781906678
2023-01-23,S1_NoWeather,CTV,P1,Moderate,True,8.741951563020502,5812246.0420104815,2395055.2227453426,582796.7708680335,0.0,118.45366019650356,1,0,1,0,0.0,2023,1,Winter,4,7.3,1.1,1,1,1,1,0,0,500000,50,1.0,0.9999999999999992,776.7832281701602,9.15480631954021e-08,9290098.035623858,9290098.035623949
2023-01-24,S1_NoWeather,,P1,Extreme,False,0.0,4692000.0,0.0,0.0,0.0,0.0,0,0,0,0,4692000.0,2023,1,Winter,4,12.6,3.3,0,0,0,0,0,0,0,50,1.0,1.0,6000.0,0.0,4692000.0,4692000.0
2023-01-25,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,4651.2490026403975,0.0,0,0,0,2,4692000.0,2023,1,Winter,4,4.7,1.8,0,1,2,0,0,2,1000000,50,1.0,0.9982000000000003,47.91360000000003,1503548.1599999962,5696651.24900264,7200199.409002637
2023-01-26,S1_NoWeather,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.424657534,600000.0000000001,2110.616793476604,121.6792656587473,2,0,3,1,0.0,2023,1,Winter,4,5.8,1.2,1,1,1,1,0,1,500000,50,1.0,0.9992,214.2994185222878,26680.191817627714,9551678.29631062,9578358.488128249
2023-01-27,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,2110.616793476604,0.0,0,0,0,1,4692000.0,2023,1,Winter,4,10.8,2.2,0,1,0,0,0,1,0,50,1.0,0.9991999999999995,4632.662976429879,576764.6860170403,4694110.616793477,5270875.302810517
2023-01-28,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,2110.616793476604,0.0,0,0,0,1,4692000.0,2023,1,Winter,4,8.4,2.0,0,1,0,0,0,1,0,50,1.0,0.9992000000000006,1537.1922211276221,191379.81616106725,4694110.616793477,4885490.432954544
2023-01-29,S1_NoWeather,CTV,P1,Moderate,True,4.221233586953208,2806564.1900780853,1156502.35258992,281415.57246354717,0.0,61.94468549566239,1,0,1,0,0.0,2023,1,Winter,4,7.5,1.4,1,1,0,0,0,0,0,50,1.0,0.9999999999999993,890.2910645226943,1.0492556955590094e-07,4244482.115131552,4244482.115131658
2023-01-30,S1_NoWeather,,P1,Rough Sea,False,0.0,4692000.0,0.0,0.0,0.0,0.0,0,0,0,0,4692000.0,2023,1,Winter,5,6.5,1.6,0,1,0,0,0,0,0,50,1.0,1.0,418.888662731529,0.0,4692000.0,4692000.0
2023-01-31,S1_NoWeather,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,5,9.0,1.2,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,2110.3195603500917,4.97424922339086e-08,0.0,4.97424922339086e-08
