date,strategy,vessel,port,weather_scenario,accessible,cap_hr_used,ship_cost,port_cost,labor_cost,pending_downtime_cost,emissions_kg,n_completed,n_deferred,n_attempted,n_pending,wasted_charter_cost,year,month,season,week_of_year,wind_speed,wave_height,ctv_ok,sov_ok,n_new_failures,n_critical_failures,n_pm_today,n_pending_total,parts_cost,n_turbines_operational,operational_ao,energy_aep,power_mwh,downtime_cost,total_om_cost,total_cost
2023-01-01,S3_MultiPort,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,1200000.0,263002.1145354549,121.6792656587473,0,0,1,1,0.0,2023,1,Winter,52,7.7,1.4,1,1,1,1,0,1,10000000,50,1.0,0.9900000000000005,1004.2069936902103,1577315.0254426314,19912569.7940526,21489884.81949523
2023-01-02,S3_MultiPort,SOV,P1,Rough Sea,True,8.0,62567544.9964003,2191780.821917808,1066666.6666666667,461.6182620335287,382.6781857451404,1,0,2,1,0.0,2023,1,Winter,1,7.7,1.5,1,1,1,0,0,1,10000000,50,1.0,0.9980000000000007,1012.3217976796262,315463.005088445,75826454.10324681,76141917.10833526
2023-01-03,S3_MultiPort,CTV,P1,Moderate,True,0.46161826203352874,306915.3262955276,126470.75672151473,61549.1016044705,0.0,14.949493934166409,1,0,1,0,0.0,2023,1,Winter,1,8.8,1.4,1,1,0,0,0,0,0,50,1.0,0.9999999999999994,1906.2438428658659,1.7972883601374774e-07,494935.18462151283,494935.1846216926
2023-01-04,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,1,7.8,1.3,1,1,0,0,0,0,0,50,1.0,1.0,1080.4836148992472,0.0,0.0,0.0
2023-01-05,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,1,5.5,1.0,1,1,0,0,0,0,0,50,1.0,1.0,152.65621819662127,0.0,0.0,0.0
2023-01-06,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,1,5.2,0.8,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,104.03093832688785,4.904241271357952e-09,0.0,4.904241271357952e-09
2023-01-07,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,1,8.6,1.4,1,1,0,0,0,0,0,50,1.0,1.0,1715.767962548341,0.0,0.0,0.0
2023-01-08,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,1,5.8,0.8,1,1,0,0,0,0,0,50,1.0,1.0,214.47099531854263,0.0,0.0,0.0
2023-01-09,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,2,8.5,1.4,1,1,0,0,0,0,0,50,1.0,0.9999999999999991,1625.4834113576214,1.9157192466241998e-07,0.0,1.9157192466241998e-07
2023-01-10,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,2,4.1,1.4,1,1,0,0,0,0,0,50,1.0,0.9999999999999996,13.003867290860962,1583849.0673522248,0.0,1583849.0673522248
2023-01-11,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,2,6.4,0.8,1,1,0,0,0,0,0,50,1.0,1.0,384.0000000000003,0.0,0.0,0.0
2023-01-12,S3_MultiPort,CTV,P1,Calm,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,2,6.0,0.7,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,263.78994504376146,6.217811529238575e-09,0.0,6.217811529238575e-09
2023-01-13,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,1,Winter,2,9.3,2.0,0,1,0,0,0,0,0,50,1.0,1.0,2442.9586810502765,0.0,0.0,0.0
2023-01-14,S3_MultiPort,,P1,Extreme,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2023,1,Winter,2,10.0,2.9,0,0,0,0,0,0,0,50,1.0,1.0,3351.109301852232,0.0,0.0,0.0
2023-01-15,S3_MultiPort,,P1,Extreme,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2023,1,Winter,2,8.5,2.7,0,0,0,0,0,0,0,50,1.0,0.9999999999999991,1625.4834113576214,1.9157192466241998e-07,0.0,1.9157192466241998e-07
2023-01-16,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,1,Winter,3,7.1,2.3,0,1,0,0,0,0,0,50,1.0,0.9999999999999993,673.3580297170765,6.348707976394839e-08,0.0,6.348707976394839e-08
2023-01-17,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,1,Winter,3,7.3,1.5,1,1,0,0,0,0,0,50,1.0,0.9999999999999992,776.7832281701602,9.15480631954021e-08,0.0,9.15480631954021e-08
2023-01-18,S3_MultiPort,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,600000.0,347.488166588382,121.6792656587473,1,0,2,1,0.0,2023,1,Winter,3,5.2,1.3,1,1,2,0,0,1,1000000,50,1.0,0.9995999999999997,103.98932595155709,6470.724363938802,10049915.167683734,10056385.892047672
2023-01-19,S3_MultiPort,CTV,P1,Moderate,True,0.6949763331767649,462067.69880590914,190404.47484294904,46331.7555451176,0.0,17.86646982345685,1,0,1,0,0.0,2023,1,Winter,3,5.6,1.1,1,1,0,0,0,0,0,50,1.0,1.0,171.71748422552417,0.0,698803.9291939759,698803.9291939759
2023-01-20,S3_MultiPort,SOV,P1,Rough Sea,True,7.951142232517347,62185431.17572597,2178395.1321965335,530076.1488344899,0.0,380.479586208421,1,0,1,0,0.0,2023,1,Winter,3,7.8,1.7,0,1,1,1,0,0,500000,50,1.0,1.0,1080.4836148992472,0.0,65393902.45675699,65393902.45675699
2023-01-21,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,1,Winter,3,2.7,1.5,1,1,0,0,0,0,0,50,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-22,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,3,3.4,1.0,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,0.62527986973336,96217.7430875495,0.0,96217.7430875495
2023-01-23,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,4,7.3,1.1,1,1,0,0,0,0,0,50,1.0,0.9999999999999992,776.7832281701602,9.15480631954021e-08,0.0,9.15480631954021e-08
2023-01-24,S3_MultiPort,,P1,Extreme,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2023,1,Winter,4,12.6,3.3,0,0,0,0,0,0,0,50,1.0,1.0,6000.0,0.0,0.0,0.0
2023-01-25,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,1,Winter,4,4.7,1.8,0,1,0,0,0,0,0,50,1.0,1.0,48.000000000000036,1492799.9999999958,0.0,1492799.9999999958
2023-01-26,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,4,5.8,1.2,1,1,0,0,0,0,0,50,1.0,1.0,214.47099531854263,0.0,0.0,0.0
2023-01-27,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,1,Winter,4,10.8,2.2,0,1,0,0,0,0,0,50,1.0,0.9999999999999996,4636.37207408915,3.278527663136916e-07,0.0,3.278527663136916e-07
2023-01-28,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,1,Winter,4,8.4,2.0,0,1,0,0,0,0,0,50,1.0,1.0,1538.4229594952185,0.0,0.0,0.0
2023-01-29,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,4,7.5,1.4,1,1,0,0,0,0,0,50,1.0,0.9999999999999993,890.2910645226943,1.0492556955590094e-07,0.0,1.0492556955590094e-07
2023-01-30,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,1,Winter,5,6.5,1.6,0,1,0,0,0,0,0,50,1.0,1.0,418.888662731529,0.0,0.0,0.0
2023-01-31,S3_MultiPort,CTV,P1,Moderate,True,0.0,0.0,0.0,0.0,0.0,9.1792656587473,0,0,0,0,0.0,2023,1,Winter,5,9.0,1.2,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,2110.3195603500917,4.97424922339086e-08,0.0,4.97424922339086e-08
2023-02-01,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,2,Winter,5,9.2,1.6,0,1,0,0,0,0,0,50,1.0,1.0,2328.464074903318,0.0,0.0,0.0
2023-02-02,S3_MultiPort,SOV,P1,Rough Sea,True,0.0,0.0,0.0,0.0,0.0,22.67818574514039,0,0,0,0,0.0,2023,2,Winter,5,4.6,1.5,1,1,0,0,0,0,0,50,1.0,0.9999999999999998,40.01791166293504,2072404.0806594922,0.0,2072404.0806594922
2023-02-03,S3_MultiPort,CTV,P1,Moderate,True,9.0,5983814.25485961,2465753.4246575343,1800000.0,1445333.0153229816,121.6792656587473,0,0,1,3,0.0,2023,2,Winter,5,4.9,1.1,1,1,3,1,0,3,31000000,49,0.98,0.9773999999999993,65.49793543659676,235501.73368614746,42694900.694840126,42930402.428526275
2023-02-04,S3_MultiPort,CTV,P1,Moderate,True,9.0,5983814.254859611,2465753.4246575343,1553778.7618345502,5431.576139952198,121.6792656587473,1,0,2,2,0.0,2023,2,Winter,5,5.7,1.1,1,1,0,0,0,2,0,50,1.0,0.9974000000000007,191.80288247506635,77748.05031547324,10008778.01749165,10086526.067807123
2023-02-05,S3_MultiPort,CTV,P1,Calm,True,4.28090276722833,2772531.7625010908,1172850.073213241,285393.517815222,0.0,62.69055024910142,2,0,2,0,0.0,2023,2,Winter,5,3.1,0.6,1,1,0,0,0,0,0,50,1.0,1.0,0.009769997964583785,1518.9873014966875,4230775.353529554,4232294.340831051
