repair_day_idx,turbine_id,component,severity,rf,age_before_wk,age_after_wk,rel_before,rel_after,hazard_before,hazard_after,strategy
37,1,Pitch/Hydraulic System,Minor Repair,0.35,57.93,37.65,0.6401,0.859,0.01925,0.01009,HMDP_CBM
105,1,Yaw System,Minor Repair,0.35,58.43,37.98,0.6339,0.8562,0.01951,0.01022,HMDP_CBM
156,1,Gearbox,Minor Repair,0.35,59.22,38.49,0.6241,0.8517,0.0199,0.01043,HMDP_CBM
156,1,Tower/Foundation,Minor Repair,0.35,56.04,36.43,0.6632,0.8695,0.01832,0.0096,HMDP_CBM
156,1,Blades,Minor Repair,0.35,55.49,36.07,0.6698,0.8724,0.01805,0.00946,HMDP_CBM
216,1,Generator,Minor Repair,0.35,62.48,40.61,0.5833,0.8322,0.02157,0.0113,HMDP_CBM
216,1,Transformer,Minor Repair,0.35,73.67,47.88,0.4432,0.7579,0.02761,0.01447,HMDP_CBM
216,1,Controls,Minor Repair,0.35,66.94,43.51,0.5271,0.804,0.02392,0.01253,HMDP_CBM
276,1,Gearbox,Minor Repair,0.35,55.49,36.07,0.6699,0.8724,0.01805,0.00946,HMDP_CBM
276,1,Hub,Minor Repair,0.35,54.48,35.41,0.6821,0.8778,0.01756,0.0092,HMDP_CBM
276,1,Tower/Foundation,Minor Repair,0.35,53.43,34.73,0.6946,0.8833,0.01705,0.00894,HMDP_CBM
295,1,Pumps/Motors,Minor Repair,0.35,87.63,56.96,0.2849,0.652,0.03583,0.01877,HMDP_CBM
336,1,Blades,Minor Repair,0.35,61.07,39.7,0.601,0.8408,0.02084,0.01092,HMDP_CBM
336,1,Generator,Minor Repair,0.35,57.61,37.45,0.6439,0.8608,0.0191,0.01001,HMDP_CBM
336,1,Pitch/Hydraulic System,Minor Repair,0.35,79.65,51.77,0.3719,0.714,0.03105,0.01627,HMDP_CBM
368,1,Blades,Minor Repair,0.35,44.7,29.05,0.7919,0.9236,0.01305,0.00684,HMDP_CBM
395,1,Tower/Foundation,Minor Repair,0.35,50.73,32.97,0.726,0.8967,0.01578,0.00827,HMDP_CBM
408,1,Gearbox,Minor Repair,0.35,53.07,34.49,0.6988,0.8851,0.01688,0.00885,HMDP_CBM
408,1,Hub,Minor Repair,0.35,52.41,34.07,0.7065,0.8884,0.01657,0.00868,HMDP_CBM
408,1,Power Supply/Converter,Minor Repair,0.35,86.11,55.97,0.3006,0.664,0.0349,0.01829,HMDP_CBM
472,1,Generator,Minor Repair,0.35,55.45,36.04,0.6703,0.8726,0.01803,0.00945,HMDP_CBM
472,1,Yaw System,Minor Repair,0.35,88.98,57.84,0.2713,0.6412,0.03666,0.01921,HMDP_CBM
472,1,Transformer,Minor Repair,0.35,82.88,53.87,0.3354,0.6892,0.03295,0.01727,HMDP_CBM
