repair_day_idx,turbine_id,component,severity,rf,age_before_wk,age_after_wk,rel_before,rel_after,hazard_before,hazard_after,strategy
46,1,Blades,Minor Repair,0.35,46.87,30.46,0.769,0.9144,0.01401,0.00734,S1_NoWeather
61,1,Generator,Major Repair,0.55,35.94,16.17,0.8734,0.9818,0.00941,0.00284,S1_NoWeather
102,1,Pitch/Hydraulic System,Major Repair,0.55,58.7,26.41,0.6306,0.9393,0.01964,0.00593,S1_NoWeather
180,1,Electrical Components,Minor Repair,0.35,79.78,51.86,0.3704,0.713,0.03112,0.01631,S1_NoWeather
200,1,Service Items,Minor Repair,0.35,61.73,40.12,0.5927,0.8368,0.02118,0.0111,S1_NoWeather
363,1,Service Items,Minor Repair,0.35,63.12,41.03,0.5752,0.8283,0.0219,0.01148,S1_NoWeather
435,1,Generator,Major Repair,0.55,68.17,30.68,0.5115,0.913,0.02458,0.00742,S1_NoWeather
456,1,Controls,Major Repair,0.55,109.3,49.19,0.1128,0.7435,0.04991,0.01507,S1_NoWeather
481,1,Power Supply/Converter,Minor Repair,0.35,85.36,55.49,0.3085,0.6699,0.03444,0.01805,S1_NoWeather
580,1,Tower/Foundation,Major Repair,0.55,110.17,49.58,0.108,0.7391,0.0505,0.01525,S1_NoWeather
581,1,Pitch/Hydraulic System,Major Repair,0.55,91.41,41.14,0.2476,0.8273,0.03817,0.01152,S1_NoWeather
614,1,Controls,Major Repair,0.55,68.19,30.68,0.5114,0.9129,0.02459,0.00742,S1_NoWeather
627,1,Pumps/Motors,Minor Repair,0.35,112.54,73.15,0.0956,0.4495,0.05214,0.02732,S1_NoWeather
638,1,Generator,Major Repair,0.55,57.68,25.96,0.6431,0.9418,0.01913,0.00578,S1_NoWeather
638,1,Hub,Minor Repair,0.35,142.34,92.52,0.0147,0.2373,0.07416,0.03887,S1_NoWeather
857,1,Blades,Minor Repair,0.35,121.46,78.95,0.0584,0.38,0.05846,0.03064,S1_NoWeather
858,1,Gearbox,Minor Repair,0.35,170.93,111.1,0.0013,0.103,0.0976,0.05115,S1_NoWeather
971,1,Pitch/Hydraulic System,Minor Repair,0.35,97.14,63.14,0.197,0.575,0.04181,0.02191,S1_NoWeather
987,1,Contactor/Circuit/Relay,Major Repair,0.55,140.06,63.03,0.0173,0.5764,0.07239,0.02185,S1_NoWeather
1035,1,Hub,Minor Repair,0.35,144.52,93.94,0.0124,0.2245,0.07588,0.03976,S1_NoWeather
49,2,Gearbox,Minor Repair,0.35,49.9,32.44,0.7354,0.9006,0.0154,0.00807,S1_NoWeather
145,2,Pitch/Hydraulic System,Minor Repair,0.35,67.38,43.8,0.5215,0.8011,0.02416,0.01266,S1_NoWeather
200,2,Service Items,Minor Repair,0.35,57.48,37.36,0.6456,0.8615,0.01903,0.00997,S1_NoWeather
273,2,Power Supply/Converter,Minor Repair,0.35,62.52,40.64,0.5828,0.832,0.02159,0.01131,S1_NoWeather
369,2,Service Items,Minor Repair,0.35,61.36,39.88,0.5974,0.839,0.02099,0.011,S1_NoWeather
474,2,Grease/Oil/Cooling Liquid,Minor Repair,0.35,119.53,77.7,0.0653,0.3947,0.05708,0.02991,S1_NoWeather
582,2,Pitch/Hydraulic System,Minor Repair,0.35,105.8,68.77,0.1338,0.504,0.04753,0.02491,S1_NoWeather
619,2,Yaw System,Minor Repair,0.35,139.38,90.59,0.0182,0.2555,0.07186,0.03766,S1_NoWeather
653,2,Blades,Minor Repair,0.35,114.73,74.57,0.0852,0.4322,0.05367,0.02812,S1_NoWeather
751,2,Gearbox,Minor Repair,0.35,131.44,85.43,0.0314,0.3077,0.06581,0.03449,S1_NoWeather
753,2,Generator,Minor Repair,0.35,138.58,90.08,0.0193,0.2604,0.07125,0.03734,S1_NoWeather
891,2,Tower/Foundation,Minor Repair,0.35,149.29,97.04,0.0086,0.1978,0.07966,0.04175,S1_NoWeather
924,2,Pitch/Hydraulic System,Minor Repair,0.35,80.77,52.5,0.3591,0.7055,0.0317,0.01661,S1_NoWeather
951,2,Generator,Major Repair,0.55,118.08,53.14,0.0709,0.698,0.05604,0.01692,S1_NoWeather
1043,2,Generator,Minor Repair,0.35,62.14,40.39,0.5876,0.8344,0.02139,0.01121,S1_NoWeather
163,3,Heaters/Coolers,Minor Repair,0.35,63.12,41.03,0.5752,0.8283,0.0219,0.01148,S1_NoWeather
165,3,Safety,Minor Repair,0.35,70.61,45.9,0.481,0.7793,0.02591,0.01358,S1_NoWeather
180,3,Controls,Minor Repair,0.35,46.62,30.3,0.7717,0.9155,0.0139,0.00728,S1_NoWeather
200,3,Service Items,Minor Repair,0.35,73.35,47.68,0.4472,0.7602,0.02743,0.01438,S1_NoWeather
243,3,Electrical Components,Minor Repair,0.35,81.63,53.06,0.3493,0.6989,0.03221,0.01688,S1_NoWeather
369,3,Service Items,Minor Repair,0.35,71.68,46.59,0.4678,0.772,0.0265,0.01389,S1_NoWeather
393,3,Generator,Major Repair,0.55,83.79,37.7,0.3255,0.8586,0.03349,0.01011,S1_NoWeather
472,3,Yaw System,Minor Repair,0.35,79.99,51.99,0.368,0.7114,0.03124,0.01637,S1_NoWeather
537,3,Pumps/Motors,Minor Repair,0.35,101.37,65.89,0.1641,0.5403,0.04458,0.02336,S1_NoWeather
587,3,Pumps/Motors,Minor Repair,0.35,68.89,44.78,0.5025,0.791,0.02497,0.01309,S1_NoWeather
618,3,Pitch/Hydraulic System,Minor Repair,0.35,99.5,64.67,0.1782,0.5557,0.04334,0.02271,S1_NoWeather
734,3,Hub,Major Repair,0.55,115.42,51.94,0.0821,0.7121,0.05415,0.01635,S1_NoWeather
926,3,Pitch/Hydraulic System,Minor Repair,0.35,67.67,43.99,0.5178,0.7992,0.02431,0.01274,S1_NoWeather
1047,3,Tower/Foundation,Minor Repair,0.35,159.0,103.35,0.0038,0.15,0.08756,0.04588,S1_NoWeather
36,4,Blades,Minor Repair,0.35,39.44,25.63,0.8431,0.9435,0.01082,0.00567,S1_NoWeather
201,4,Service Items,Minor Repair,0.35,44.73,29.07,0.7916,0.9235,0.01306,0.00685,S1_NoWeather
253,4,Pitch/Hydraulic System,Minor Repair,0.35,76.26,49.57,0.4118,0.7392,0.02908,0.01524,S1_NoWeather
324,4,Contactor/Circuit/Relay,Minor Repair,0.35,85.42,55.52,0.3079,0.6695,0.03448,0.01807,S1_NoWeather
369,4,Service Items,Minor Repair,0.35,53.07,34.5,0.6987,0.885,0.01689,0.00885,S1_NoWeather
445,4,Gearbox,Minor Repair,0.35,91.95,59.76,0.2427,0.6173,0.0385,0.02018,S1_NoWeather
451,4,Generator,Minor Repair,0.35,108.04,70.22,0.1201,0.4858,0.04904,0.0257,S1_NoWeather
467,4,Controls,Minor Repair,0.35,95.55,62.11,0.2103,0.5879,0.04079,0.02138,S1_NoWeather
472,4,Pumps/Motors,Minor Repair,0.35,98.74,64.18,0.1841,0.5619,0.04285,0.02245,S1_NoWeather
485,4,Heaters/Coolers,Minor Repair,0.35,100.96,65.62,0.1671,0.5437,0.0443,0.02322,S1_NoWeather
528,4,Hub,Minor Repair,0.35,108.68,70.64,0.1164,0.4806,0.04948,0.02593,S1_NoWeather
574,4,Generator,Major Repair,0.55,87.22,39.25,0.289,0.8448,0.03558,0.01074,S1_NoWeather
586,4,Electrical Components,Minor Repair,0.35,94.73,61.57,0.2175,0.5947,0.04026,0.0211,S1_NoWeather
612,4,Pitch/Hydraulic System,Major Repair,0.55,98.57,44.36,0.1854,0.7954,0.04274,0.0129,S1_NoWeather
824,4,Gearbox,Minor Repair,0.35,113.76,73.95,0.0897,0.4398,0.05299,0.02777,S1_NoWeather
856,4,Blades,Minor Repair,0.35,123.63,80.36,0.0514,0.3637,0.06004,0.03146,S1_NoWeather
898,4,Transformer,Minor Repair,0.35,124.43,80.88,0.049,0.3579,0.06062,0.03177,S1_NoWeather
930,4,Pitch/Hydraulic System,Minor Repair,0.35,54.36,35.33,0.6835,0.8784,0.0175,0.00917,S1_NoWeather
937,4,Controls,Minor Repair,0.35,126.11,81.97,0.0442,0.3455,0.06185,0.03241,S1_NoWeather
940,4,Power Supply/Converter,Minor Repair,0.35,160.84,104.54,0.0032,0.142,0.08908,0.04668,S1_NoWeather
944,4,Gearbox,Minor Repair,0.35,90.95,59.12,0.2521,0.6254,0.03788,0.01985,S1_NoWeather
954,4,Yaw System,Minor Repair,0.35,154.2,100.23,0.0058,0.1726,0.08362,0.04382,S1_NoWeather
1031,4,Generator,Major Repair,0.55,101.25,45.56,0.165,0.7829,0.0445,0.01343,S1_NoWeather
73,5,Pumps/Motors,Minor Repair,0.35,56.7,36.86,0.6551,0.8658,0.01865,0.00977,S1_NoWeather
201,5,Service Items,Minor Repair,0.35,42.06,27.34,0.8183,0.934,0.01191,0.00624,S1_NoWeather
213,5,Heaters/Coolers,Minor Repair,0.35,37.14,24.14,0.8635,0.9512,0.00988,0.00518,S1_NoWeather
217,5,Pitch/Hydraulic System,Minor Repair,0.35,78.67,51.14,0.3833,0.7213,0.03047,0.01597,S1_NoWeather
335,5,Pitch/Hydraulic System,Minor Repair,0.35,68.14,44.29,0.512,0.7961,0.02456,0.01287,S1_NoWeather
337,5,Contactor/Circuit/Relay,Major Repair,0.55,80.85,36.38,0.3581,0.8698,0.03175,0.00958,S1_NoWeather
361,5,Blades,Minor Repair,0.35,70.07,45.54,0.4878,0.7831,0.02562,0.01342,S1_NoWeather
367,5,Safety,Minor Repair,0.35,90.22,58.64,0.2591,0.6313,0.03742,0.01961,S1_NoWeather
369,5,Service Items,Minor Repair,0.35,51.34,33.37,0.719,0.8937,0.01607,0.00842,S1_NoWeather
463,5,Controls,Minor Repair,0.35,102.19,66.43,0.1581,0.5335,0.04512,0.02364,S1_NoWeather
517,5,Pumps/Motors,Minor Repair,0.35,98.86,64.26,0.1832,0.5609,0.04293,0.0225,S1_NoWeather
525,5,Safety,Minor Repair,0.35,78.64,51.12,0.3836,0.7216,0.03046,0.01596,S1_NoWeather
754,5,Generator,Minor Repair,0.35,122.7,79.75,0.0543,0.3707,0.05936,0.03111,S1_NoWeather
820,5,Tower/Foundation,Major Repair,0.55,157.12,70.7,0.0045,0.4798,0.08601,0.02596,S1_NoWeather
908,5,Power Supply/Converter,Minor Repair,0.35,132.09,85.86,0.0301,0.3032,0.0663,0.03475,S1_NoWeather
936,5,Gearbox,Major Replacement,0.9,141.92,14.19,0.0151,0.9868,0.07383,0.00233,S1_NoWeather
976,5,Blades,Minor Repair,0.35,133.54,86.8,0.0273,0.2934,0.0674,0.03532,S1_NoWeather
988,5,Pitch/Hydraulic System,Minor Repair,0.35,138.29,89.89,0.0197,0.2623,0.07102,0.03722,S1_NoWeather
1084,5,Generator,Major Replacement,0.9,125.75,12.58,0.0451,0.9903,0.06159,0.00195,S1_NoWeather
184,6,Gearbox,Minor Repair,0.35,54.31,35.3,0.6841,0.8787,0.01748,0.00916,S1_NoWeather
201,6,Service Items,Minor Repair,0.35,56.47,36.7,0.658,0.8671,0.01853,0.00971,S1_NoWeather
