repair_day_idx,turbine_id,component,severity,rf,age_before_wk,age_after_wk,rel_before,rel_after,hazard_before,hazard_after,strategy
33,1,Gearbox,Minor Repair,0.35,19.5,12.68,0.9711,0.9901,0.00376,0.00197,S2_WeatherCTV
104,1,Pitch/Hydraulic System,Minor Repair,0.35,44.58,28.97,0.7931,0.9241,0.013,0.00681,S2_WeatherCTV
177,1,Grease/Oil/Cooling Liquid,Minor Repair,0.35,73.96,48.07,0.4397,0.7559,0.02778,0.01456,S2_WeatherCTV
189,1,Sensors,Minor Repair,0.35,47.3,30.75,0.7643,0.9125,0.01421,0.00745,S2_WeatherCTV
200,1,Service Items,Minor Repair,0.35,66.05,42.93,0.5383,0.8098,0.02344,0.01228,S2_WeatherCTV
360,1,Service Items,Minor Repair,0.35,65.93,42.85,0.5398,0.8106,0.02338,0.01225,S2_WeatherCTV
393,1,Electrical Components,Minor Repair,0.35,91.08,59.2,0.2508,0.6243,0.03796,0.01989,S2_WeatherCTV
413,1,Controls,Minor Repair,0.35,74.94,48.71,0.4277,0.7488,0.02833,0.01485,S2_WeatherCTV
507,1,Service Items,Minor Repair,0.35,63.85,41.51,0.566,0.8238,0.02228,0.01168,S2_WeatherCTV
576,1,Gearbox,Minor Repair,0.35,89.68,58.29,0.2644,0.6356,0.03709,0.01944,S2_WeatherCTV
579,1,Yaw System,Minor Repair,0.35,95.14,61.84,0.2138,0.5913,0.04053,0.02124,S2_WeatherCTV
604,1,Yaw System,Minor Repair,0.35,65.84,42.8,0.5409,0.8111,0.02333,0.01223,S2_WeatherCTV
620,1,Blades,Minor Repair,0.35,105.82,68.78,0.1337,0.5039,0.04754,0.02491,S2_WeatherCTV
683,1,Service Items,Minor Repair,0.35,66.51,43.23,0.5325,0.8068,0.02369,0.01241,S2_WeatherCTV
854,1,Tower/Foundation,Minor Repair,0.35,128.85,83.75,0.0372,0.3258,0.06387,0.03347,S2_WeatherCTV
884,1,Hub,Major Repair,0.55,145.85,65.63,0.0112,0.5436,0.07692,0.02322,S2_WeatherCTV
904,1,Pumps/Motors,Major Repair,0.55,144.73,65.13,0.0123,0.5499,0.07604,0.02295,S2_WeatherCTV
909,1,Pitch/Hydraulic System,Major Repair,0.55,143.97,64.79,0.013,0.5542,0.07545,0.02278,S2_WeatherCTV
976,1,Contactor/Circuit/Relay,Minor Repair,0.35,180.22,117.14,0.0005,0.0747,0.10566,0.05537,S2_WeatherCTV
994,1,Generator,Minor Repair,0.35,172.13,111.88,0.0011,0.0989,0.09863,0.05169,S2_WeatherCTV
1065,1,Gearbox,Minor Repair,0.35,126.29,82.09,0.0437,0.3442,0.06198,0.03248,S2_WeatherCTV
1084,1,Controls,Minor Repair,0.35,141.71,92.11,0.0154,0.2411,0.07367,0.03861,S2_WeatherCTV
19,2,Gearbox,Minor Repair,0.35,28.81,18.73,0.9251,0.9738,0.00676,0.00354,S2_WeatherCTV
95,2,Controls,Minor Repair,0.35,31.76,20.64,0.9055,0.9667,0.00782,0.0041,S2_WeatherCTV
200,2,Service Items,Minor Repair,0.35,49.18,31.97,0.7436,0.904,0.01506,0.00789,S2_WeatherCTV
289,2,Electrical Components,Minor Repair,0.35,88.23,57.35,0.2788,0.6472,0.03619,0.01897,S2_WeatherCTV
360,2,Service Items,Minor Repair,0.35,54.97,35.73,0.6762,0.8752,0.0178,0.00933,S2_WeatherCTV
499,2,Grease/Oil/Cooling Liquid,Minor Repair,0.35,123.07,79.99,0.0531,0.368,0.05962,0.03125,S2_WeatherCTV
511,2,Service Items,Minor Repair,0.35,56.73,36.87,0.6548,0.8657,0.01866,0.00978,S2_WeatherCTV
519,2,Blades,Minor Repair,0.35,101.45,65.94,0.1635,0.5396,0.04463,0.02339,S2_WeatherCTV
633,2,Transformer,Minor Repair,0.35,128.44,83.49,0.0382,0.3287,0.06357,0.03332,S2_WeatherCTV
670,2,Yaw System,Minor Repair,0.35,127.04,82.58,0.0417,0.3388,0.06254,0.03277,S2_WeatherCTV
684,2,Service Items,Minor Repair,0.35,61.87,40.22,0.5909,0.8359,0.02126,0.01114,S2_WeatherCTV
698,2,Yaw System,Minor Repair,0.35,85.58,55.63,0.3062,0.6682,0.03457,0.01812,S2_WeatherCTV
704,2,Pitch/Hydraulic System,Minor Repair,0.35,111.79,72.66,0.0994,0.4555,0.05162,0.02705,S2_WeatherCTV
732,2,Electrical Components,Minor Repair,0.35,118.35,76.93,0.0698,0.4039,0.05623,0.02947,S2_WeatherCTV
739,2,Transformer,Minor Repair,0.35,98.49,64.02,0.1861,0.5639,0.04269,0.02237,S2_WeatherCTV
743,2,Controls,Minor Repair,0.35,112.64,73.22,0.0951,0.4487,0.05221,0.02736,S2_WeatherCTV
819,2,Gearbox,Major Replacement,0.9,132.73,13.27,0.0289,0.9889,0.06678,0.00211,S2_WeatherCTV
954,2,Sensors,Major Repair,0.55,161.46,72.66,0.0031,0.4556,0.0896,0.02705,S2_WeatherCTV
974,2,Yaw System,Minor Repair,0.35,94.63,61.51,0.2184,0.5955,0.0402,0.02107,S2_WeatherCTV
