repair_day_idx,turbine_id,component,severity,rf,age_before_wk,age_after_wk,rel_before,rel_after,hazard_before,hazard_after,strategy
200,1,Service Items,Minor Repair,0.35,75.24,48.91,0.4241,0.7466,0.0285,0.01494,S3_MultiPort
256,1,Gearbox,Minor Repair,0.35,58.54,38.05,0.6325,0.8555,0.01956,0.01025,S3_MultiPort
306,1,Safety,Minor Repair,0.35,92.89,60.38,0.234,0.6097,0.0391,0.02049,S3_MultiPort
380,1,Service Items,Minor Repair,0.35,74.91,48.69,0.4281,0.749,0.02831,0.01484,S3_MultiPort
468,1,Service Items,Minor Repair,0.35,60.69,39.45,0.6058,0.843,0.02065,0.01082,S3_MultiPort
489,1,Pitch/Hydraulic System,Minor Repair,0.35,109.86,71.41,0.1097,0.4711,0.05029,0.02635,S3_MultiPort
537,1,Gearbox,Minor Repair,0.35,78.05,50.73,0.3905,0.726,0.03012,0.01578,S3_MultiPort
577,1,Tower/Foundation,Major Repair,0.55,127.53,57.39,0.0404,0.6467,0.0629,0.01899,S3_MultiPort
638,1,Controls,Minor Repair,0.35,105.03,68.27,0.1387,0.5103,0.04701,0.02464,S3_MultiPort
649,1,Service Items,Minor Repair,0.35,65.45,42.54,0.5459,0.8137,0.02312,0.01212,S3_MultiPort
739,1,Pumps/Motors,Minor Repair,0.35,118.19,76.82,0.0705,0.4051,0.05611,0.02941,S3_MultiPort
749,1,Generator,Major Repair,0.55,112.29,50.53,0.0969,0.7283,0.05197,0.01569,S3_MultiPort
802,1,Controls,Minor Repair,0.35,90.27,58.68,0.2586,0.6308,0.03746,0.01963,S3_MultiPort
870,1,Pitch/Hydraulic System,Minor Repair,0.35,126.41,82.16,0.0434,0.3433,0.06207,0.03253,S3_MultiPort
887,1,Hub,Minor Repair,0.35,158.08,102.75,0.0041,0.1542,0.08681,0.04549,S3_MultiPort
889,1,Contactor/Circuit/Relay,Minor Repair,0.35,152.67,99.23,0.0065,0.1802,0.08238,0.04317,S3_MultiPort
904,1,Generator,Major Repair,0.55,72.53,32.64,0.4572,0.8991,0.02698,0.00814,S3_MultiPort
918,1,Transformer,Minor Repair,0.35,176.95,115.02,0.0007,0.0839,0.1028,0.05387,S3_MultiPort
964,1,Power Supply/Converter,Major Repair,0.55,171.13,77.01,0.0012,0.4029,0.09777,0.02951,S3_MultiPort
998,1,Pitch/Hydraulic System,Minor Repair,0.35,100.16,65.11,0.1731,0.5502,0.04378,0.02294,S3_MultiPort
1031,1,Blades,Minor Repair,0.35,167.82,109.08,0.0017,0.1141,0.09494,0.04976,S3_MultiPort
200,2,Service Items,Minor Repair,0.35,40.84,26.55,0.8301,0.9385,0.0114,0.00597,S3_MultiPort
336,2,Pitch/Hydraulic System,Minor Repair,0.35,81.42,52.92,0.3517,0.7005,0.03208,0.01681,S3_MultiPort
342,2,Generator,Major Repair,0.55,78.94,35.53,0.3801,0.8769,0.03063,0.00925,S3_MultiPort
377,2,Electrical Components,Minor Repair,0.35,62.33,40.52,0.5852,0.8332,0.02149,0.01126,S3_MultiPort
380,2,Service Items,Minor Repair,0.35,52.55,34.16,0.7049,0.8877,0.01664,0.00872,S3_MultiPort
437,2,Blades,Minor Repair,0.35,91.44,59.43,0.2474,0.6214,0.03819,0.02001,S3_MultiPort
462,2,Gearbox,Major Replacement,0.9,85.71,8.57,0.3048,0.9962,0.03466,0.0011,S3_MultiPort
468,2,Service Items,Minor Repair,0.35,46.16,30.0,0.7766,0.9175,0.0137,0.00718,S3_MultiPort
530,2,Grease/Oil/Cooling Liquid,Minor Repair,0.35,116.91,75.99,0.0756,0.415,0.05521,0.02893,S3_MultiPort
601,2,Sensors,Major Repair,0.55,98.32,44.24,0.1874,0.7966,0.04258,0.01285,S3_MultiPort
621,2,Gearbox,Minor Repair,0.35,31.57,20.52,0.9068,0.9672,0.00775,0.00406,S3_MultiPort
649,2,Service Items,Minor Repair,0.35,56.0,36.4,0.6637,0.8697,0.0183,0.00959,S3_MultiPort
756,2,Generator,Minor Repair,0.35,94.53,61.44,0.2192,0.5964,0.04014,0.02103,S3_MultiPort
849,2,Controls,Minor Repair,0.35,144.48,93.91,0.0125,0.2247,0.07584,0.03975,S3_MultiPort
889,2,Heaters/Coolers,Minor Repair,0.35,119.19,77.47,0.0666,0.3974,0.05683,0.02978,S3_MultiPort
935,2,Power Supply/Converter,Minor Repair,0.35,146.76,95.4,0.0105,0.2117,0.07765,0.04069,S3_MultiPort
1084,2,Generator,Major Repair,0.55,107.44,48.35,0.1237,0.7528,0.04864,0.01468,S3_MultiPort
92,3,Grease/Oil/Cooling Liquid,Minor Repair,0.35,64.16,41.7,0.5622,0.8219,0.02244,0.01176,S3_MultiPort
191,3,Pitch/Hydraulic System,Minor Repair,0.35,55.1,35.82,0.6745,0.8745,0.01786,0.00936,S3_MultiPort
200,3,Service Items,Minor Repair,0.35,82.71,53.76,0.3373,0.6906,0.03285,0.01722,S3_MultiPort
350,3,Generator,Major Replacement,0.9,77.59,7.76,0.396,0.9971,0.02985,0.00094,S3_MultiPort
379,3,Service Items,Minor Repair,0.35,78.76,51.19,0.3822,0.7207,0.03053,0.016,S3_MultiPort
381,3,Service Items,Minor Repair,0.35,51.19,33.28,0.7207,0.8944,0.016,0.00838,S3_MultiPort
469,3,Service Items,Minor Repair,0.35,45.28,29.43,0.7859,0.9212,0.01331,0.00697,S3_MultiPort
502,3,Pitch/Hydraulic System,Minor Repair,0.35,79.82,51.88,0.37,0.7127,0.03114,0.01632,S3_MultiPort
584,3,Grease/Oil/Cooling Liquid,Minor Repair,0.35,110.7,71.96,0.1051,0.4643,0.05087,0.02666,S3_MultiPort
610,3,Generator,Major Replacement,0.9,44.76,4.48,0.7913,0.9993,0.01308,0.00041,S3_MultiPort
