strategy,label,year,total_cost_B,om_cost_B,downtime_cost_B,operational_ao_pct,energy_aep_pct,n_failures,n_critical_fail,n_pm,n_deferred,carbon_tCO2,power_mwh,backlog_B
S1_NoWeather,S1: Fixed PM / No Weather,2023,2.179586107159046,2.1794488517533486,0.00013725540569793808,99.91780821917808,93.86394520547944,179,55,100,0,2.6803455723542116,401170.85741437005,0.0385850071366307
S1_NoWeather,S1: Fixed PM / No Weather,2024,5.179257011757586,5.1787930162153,0.0004639955422864254,99.69398907103825,93.751912568306,364,123,100,0,6.480561555075592,480543.1220849176,0.16158685713167859
S1_NoWeather,S1: Fixed PM / No Weather,2025,5.936532230099884,5.935928442470554,0.0006037876293300828,99.43561643835616,93.2397808219178,493,150,100,0,7.6463282937365005,401932.8549835946,0.3029362602690407
S2_WeatherCTV,S2: Fixed PM / Weather-Aware,2023,4.8570983509437795,4.856804730130878,0.0002936208129020643,99.83013698630137,93.7155616438356,157,51,100,0,4.142008639308855,400165.3231195604,0.10106361691528427
S2_WeatherCTV,S2: Fixed PM / Weather-Aware,2024,12.152890481573674,12.151724501093154,0.0011659804805192987,99.31147540983606,92.81830601092895,391,140,100,0,10.808855291576673,476024.3142291879,0.5402988736989036
S2_WeatherCTV,S2: Fixed PM / Weather-Aware,2025,11.690591992939948,11.689179593617927,0.0014123993220222044,99.58904109589041,92.11008219178083,521,172,100,0,11.013498920086393,396729.62146468554,0.295959644856699
S3_MultiPort,S3: Multi-Port / Weather,2023,5.0408622710094475,5.040581403812418,0.0002808671970290462,99.74794520547945,93.62323287671231,177,64,100,12,4.228941684665227,400246.66225670674,0.1323612068453251
S3_MultiPort,S3: Multi-Port / Weather,2024,12.086075280909396,12.084696024575395,0.001379256334002264,99.3606557377049,92.6911475409836,389,143,100,983,10.595032397408206,474648.2531973133,0.4769862640190803
S3_MultiPort,S3: Multi-Port / Weather,2025,11.659862902161374,11.658193676765123,0.0016692253962466337,99.46301369863015,91.92624657534246,521,173,100,1320,10.724082073434126,395076.36049143097,0.47291397163973214
HMDP_CBM,HMDP: CBM + Hierarchical LP,2023,11.024056246953556,11.021651045807374,0.0024052011461812776,99.93972602739726,90.41802739726027,58,19,640,1913,9.762419006479481,386566.61539588845,1.178621352892893
HMDP_CBM,HMDP: CBM + Hierarchical LP,2024,13.300768540257256,13.293909641387172,0.006858898870085143,99.94535519125684,85.8060655737705,30,17,514,8642,10.382829373650107,439372.8509759414,2.407942028639578
HMDP_CBM,HMDP: CBM + Hierarchical LP,2025,12.449437752258346,12.443163570873619,0.006274181384728506,99.96164383561644,84.90898630136985,23,20,472,6003,10.222462203023758,365436.7521061673,2.344126660658265
